name,rules,date,
LATTOO,"Material required:
 The tops were made of clay earlier and later replaced with wood/plastic. However, with technological advancement,
one can find many different varieties and colours of tops today in the market. Some are with lights and sound effects.
 A nail- the wooden top is mounted on the nail.
 A string- to spin the top and also pick the top the string is used.
 The string is tied across the top.
 Players- can be played alone or in groups.
Instructions:
 There are various modifications & techniques associated with this simple-looking yet scientific game, like, lifting the
moving top off with the string, rolling the top on the string, and many more.
 There are no set rules. A group of kids decide the rules.
 Smaller tops have a short stem and are set in motion by twirling it using the fingers. A thumbtack may also be made
to spin on its tip similarly.
 They may be set in motion by twirling a handle with the fingers, by pulling a rope coiled around the body,
or using a built-in auger.
Physics in the game:
 A spinning top, or simply a top, is a toy with a squat body and a sharp point at the bottom, designed to be spun on its vertical axis,
balancing on the tip due to the gyroscopic effect. Once set in motion, a top will usually wobble for a few seconds, spin upright for a
while, then wobble again with increasing amplitude as it loses energy, and finally tip over and roll on its side. The motion of a top is
described by equations of rigid body dynamics, specifically the theory of rotating rigid bodies. Because of the small contact area
between the tip and the underlying surface and the large rotational inertia of its body, a top that is started on a hard surface will usually
keep spinning for tens of seconds or more, even without additional energy input. Typically, the top will wobble until friction and
torque between the tip and the underlying surface force it to spin with the axis steady and upright. The total spinning time of a top
is generally increased by increasing its moment of inertia and lowering its center of gravity.",-3500,https://worldforumfoundation.org/wp-content/uploads/2024/05/Traditional-Indian-Games-By-Dr.-Swati-Kela-India-Vancouver-2024.pdf
Nondri,"Usually, a series of boxes that are connected with each other is drawn with the first three boxes being single followed by two connected boxes and one single box, with the last two boxes connected. The boxes look like a series of three boxes stacked on top of each other (The Top Section), which is stacked on two boxes placed touching each other that are stacked on a single box (The Middle Section) which are stacked on the bottom section of two touching boxes (The Bottom Section). The person to pass through each boxes through hopping and walking with eyes closed without touching the borders is the winner. There are different levels the player has to pass through in order to become the ultimate winner.

Usually a group of players of up to 4 players (although there can be any number of players involved) decides by playing Saa-boo-Three on who should start first. The first player throws the rubble in the 1st box, without touching the corners and has to hop directly from the start line to Box 2 without touching the first box and has to hop from Box 2 to Box 8, not spending more than 10 seconds in each box and has to repeat the process in reverse, where he collects the rubble in the first box only with one hand and jumping straight to the starting point. the person who does this step without any fumbles is eligible to the next box. This time the rubble has to be thrown at the 2nd Box and repeat the process again but he is allowed to hop on Box 1 and stay as long as he wants (although most won't take more 15 seconds) as he has conquered that box. The Process goes on until he conquers all eight boxes. However, a person is out if he touches edges of any box in his attempt or he throws the rubble in other boxes than the one which he is supposed to throw. The Players take turn until a winner is emerged. There is high possibility for a person to win without other players getting turn.",-3500,https://en.wikipedia.org/wiki/Nondi
Atya Patya,"The game is played in four innings (turns), with each inning lasting for seven minutes, and the teams alternating attacking and defending roles in each inning. Before each inning, the defensive team places one player in each of the trenches. A batch of four players on the attacking team,[23] who are referred to as ""assailants"", line up at one end of the court, in the area in front of the front trench. The goal of the assailants is to score by crossing each trench without being eliminated; the total number of points scored in an inning by the attacking team is equal to the number of trenches crossed by their furthest-advancing assailant.[18] If an assailant is touched by a defender (and the defender commits no faults, such as stepping out of their trench, or lifting a foot at or immediately after the time of tagging the assailant), then the assailant is ""out"", and must leave the court.[24][25] The assailant is also out if they step out of the field while failing to keep any part of their body grounded within the field.

If an assailant crosses all nine trenches, they may say the word ""Tond"", which compels the defenders to turn around, allowing the assailant to now attempt to re-cross the nine trenches in the opposite direction.[26] If an assailant manages to cross all nine trenches in both directions, a ""Lona"" is said to have been scored, meaning that 18 points have been scored by the attacking team for the 18 times that assailant crossed a trench;[18] after a Lona has been scored, the not-out assailants are brought back to the starting area and then allowed to continue scoring for the remainder of the inning.[26][15]

Atya-patya matches are decided on a best-of-three basis",-300,https://en.wikipedia.org/wiki/Atya_patya
Ball Badminton,"A match consists of three games. The team that wins two out of three games is the match winner. The team first scoring the 34th point wins a game. Teams start each game from the side opposite the one they played the previous game. There is a break of two minutes between the end of the first game and the start of the second game, and five minutes between the second and the third games. Choice of side and the right of first service is decided by a coin toss at the beginning of a match. If the team winning the toss chooses to serve, the other team has the choice of side and vice versa. At the beginning of a match the referee allows two trials, one from each side. After the trials are over, the umpire shall call ""play"" and regular play begins. A ball is in play from the time a player attempts to serve until it touches the ground or until a ""fault"" or ""let"" (a re-serve) is called by the umpire.

The officiating team consists of one umpire, two or more line referees and a scorer. When the umpire calls ""play"", if a team refuses to play it forfeits the match. The umpire is the sole judge on the fairness of a play, weather and lighting conditions. His decisions are final. It is the umpire's responsibility to call ""fault"" or ""let"", with (or without) an appeal from the players. If an umpire erroneously calls ""fault"" and immediately corrects himself and calls ""play"" but the striker fails to return the ball, a ""let"" is allowed. Umpires serve for an entire match, unless a change is authorized by the tournament committee. Each of the two (or more) line referees is responsible for one boundary line and one half of the side line opposite the umpire, in addition to any other duties assigned by the umpire. Referees signal the umpire in a code prescribed by the BBF. The scorer records the points scored and the number of hands on the score sheet. A ball may be replaced by an umpire if it is lost or damaged. The umpire can overrule a line referee's decision, if he feels that an error has been committed.

The umpire is also responsible for the net. He announces the score (for the benefit of the scorer) when a point is scored or a server is out. In announcing the score he calls the number of the serving hand, followed by the score of the serving team and the score of the other team. If a match is suspended by the umpire for any reason (e.g. weather and light), it is resumed from the point at which it was stopped. In case of a tie between two or more teams in any tournament, a match is not replayed. If the tie is unbroken, teams are ranked based on game and point scores. In a league tournament, if two (or more) teams have identical won/lost records their game scores are used to break the tie.",1856,https://en.wikipedia.org/wiki/Ball_badminton
Gutte,The game is played in 5 rounds. Generally for first 4 rounds four stones are thrown on the floor. First round is to pick up 4 stones one by one. Second round is to pick 2 stones at a time. Third round is to pick 3 stones together and then pick one. Fourth round is to pick all four in one go. Last round is to toss all the stones from palm and place it on the back of the palm and then catch all four by tossing to above.,-2500,https://en.wikipedia.org/wiki/Knucklebones#South_Asia
Kho kho,"At the start of play, the active chaser starts off in one of the free zones, and can run into either half of the court to tag the three defenders. Once all three defenders have been tagged out or otherwise ""dismissed"", the next ""batch"" of three defenders comes onto the court.[28]

The active chaser can switch roles with a sitting teammate by touching them on the back and shouting ""kho""; this is known as the active chaser ""giving a kho"" to the sitting teammate. One kho must be given by the active chaser upon the dismissal of a batch before the chasing team can tag any players in the next batch.[5] For the kho to be valid, it must be given before the active chaser has gone past the cross lane that the teammate is sitting within, with the sitting teammate not moving/rising before receiving the kho. Once a sitting chaser becomes active, they may only enter the half of the court which they were facing while they were sitting; additionally, once the newly active chaser steps to the left or right of the cross lane they were sitting in (or turns in such a way that their shoulders face towards either pole), they must continue in that direction until they have reached the free zone. Also, once the newly active chaser steps out of the central lane, they cannot step back into the central lane while tagging a defender.[28]

Violating any of these rules results in a ""foul"", in which case the chasing team can no longer attempt to tag any defenders. In order to clear the foul, the active chaser must move in the opposite direction of the one they were running in (i.e. away from the defenders they were chasing) until they have either given a kho to a teammate, or reached the appropriate free zone.[28]

The chasing team scores points each time a defender is ruled ""out"" (dismissed), which happens either when a chaser tags a defender without breaking any rules, when a defender steps out of the court (with no part of the body remaining grounded within), or when a defender is late to enter the court as part of a new batch after the dismissal of the previous batch.[28][29]

In the case of a tie, some matches have a tiebreaker known as a ""minimum chase"", in which each team is allotted an additional turn to score. Each team's turn ends once they have scored one point, with the team that is faster at scoring a point during their minimum chase turn winning the match",-301,https://en.wikipedia.org/wiki/Traditional_games_of_India
chor police,"Since the game revolves around cops and thieves, police has to catch the thieves in order to defeat opposite team. Once the team is defeated after a successful run-and-catch, police has to play the role of thieves and hence thieves become police and it continues vice versa until the game ends",2008,https://en.wikipedia.org/wiki/Traditional_games_of_India
oonch neech,"After chain-cut, a person, say A is chosen as Denner or catcher. The playing members will ask the Denner : 'Oonch neech ka papada—Oonch mangi ki neech?' meaning ""do you want the upper level or the lower level?"" The catcher chooses either Oonch (any height) or Neech (ground). Usually he chooses Neech, so as to move. Once A chooses Oonch, he should not step on Neech by any means and on the other hand, he will not let other players to step on his ground. If B stays on ground by mistake and if he is captured by A, then B becomes the catcher in the next game.

In the game, other players tease the catcher by saying ""Hum tumhari Neech pe or Hum tumhari Oonch pe"" which mean ""We're in your area, catch us"". In Telugu, it is translated as ""Nee nelanta pappu suddha"" or ""Nee bandanta pappu suddha"". The catcher is asked by the players ""Which area do you want? Oonch (up) or Neech (down)?"". The catcher chooses the area as per his convenience",2008,https://en.wikipedia.org/wiki/Traditional_games_of_India
steal the bacon,"The players are divided into teams, typically two. Players are assigned a call-sign, often a number, which is shared by a member of the opposing team. The teams line up on opposite edges of the playing area, at a distance enough to run across from each other, which has the ""bacon"" (a small object which can be grabbed and carried) in the center. A referee calls out the call-sign, and the team members who have that call-sign must run to the center, grab the bacon, and return to their teammates without being tagged by the other player(s) with that call-sign.[4] The one that manages to return with the object to his/her team gets a point. If tagged, the other team gets the point. Tagging of a player may not occur before that player has touched the ""bacon"". The referee may call out more than one call-sign resulting in many pairs of players, each player attempting to steal the ""bacon."" The referee may also call ""steal the bacon"" in which all players on both sides may attempt to steal the ""bacon.""",2008,https://en.wikipedia.org/wiki/Traditional_games_of_India
Surr,"The game is played on a rectangular field, divided into four equal quadrants, by two teams of two to four players each.[1] The attacking team gathers in one quadrant, and the defending team gathers along the quadrant's borders with the adjoining quadrants. The objective of the attacking team is to enter the other quadrants without being touched by the players of the defending team. If all the members of the attacking team manage to enter all the quadrants, the attacking team wins, and its members shout ""Bol Den Goivan Surr!"".[3] In an Awadhi variation, they sing ""Bol Goiyan Banva Surr"" (""बोल गोइयां बणवा सुर्र"");[1] if they are touched by the defending team, they lose, and have to stand on the quadrant line as ""thieves"", and have to sing another phrase",2014,https://en.wikipedia.org/wiki/Traditional_games_of_India
Kite flying,"Competitors try to capture their opponents kite and bring it to the ground. Expert kite fighters are able to cut their opponent's line and then encircle the trailing line (lubjow) of the cut kite. Once secured, the winner can then fly both kites and pull in the prize. If the cut kite is not captured, then the kite belongs to no-one, and ""kite runners"" - typically younger children - will attempt to pursue and claim it.",-200,https://en.wikipedia.org/wiki/Traditional_games_of_India
Pacchisi,"Each player's objective is to move all four of their pieces completely around the board, counter-clockwise, before their opponents do. The pieces start and finish on the Charkoni.

The playing order is decided by each player throwing the cowries. The player with the highest score starts, and turns continue counter-clockwise around the board. In some versions, each player throws the cowrie shells and pieces cannot move until a 2, 3, or 4 is thrown.

If a 6, 10, or 25 is thrown, the player gets a grace, which enables the player to introduce one of their pieces from the Charkoni onto the board. The player then repeats their turn. In other versions, this includes 10, 25, or 35 to introduce another of their pieces. The newly introduced pawn will be landed on square number 1, which is the very first square for every respective player: here, it is said that on throwing 10 or 25, or 35, you will introduce your new pawn at square number 1, and then you will add the second throw numbers that will be appeared on your cowries and 7, 14 as a grace without the introduction of pieces (here, it should be clear to players that on throwing 7 or 14, you can not introduce your new pawn, you only get an extra turn). A player needs to have at least one piece on the board to be able to throw a 7 or 14.

Simply put, on throwing 10 or 25, or 35, you can not introduce your new pawn directly to 10 or 25, or 35 number square directly, you have to land the new pawn on square number 1 and then add your remaining numbers. Once your all pawns have entered the game, throwing 10 or 25, or 35 allows you to move the respective numbers ahead.

Each player's first piece may leave the Charkoni on any throw after it has been introduced onto the board. Each player moves their pieces down the centre column of their own arm of the board, then counter-clockwise around the outside columns.

A player may have any number of pieces on the board at one time. Only one piece may be moved with a single throw, or if the player chooses, they can decline to move any piece on a throw. In some versions, a player can move any number of their pieces with a single throw. Also, if the player casts a value higher than they are eligible to move in a single throw, then the player automatically loses that turn.

More than one piece of the same team may occupy a single square (not true for all squares in some versions). However, a piece may not move onto a castle square that is already occupied by an opponent's piece.

If a piece lands on a square (other than a castle square) occupied by any number of the opponent's pieces, those pieces are captured/killed and must return to the Charkoni. Captured pieces may only enter the game again with a grace throw. A player making a capture is allowed another turn (not true in some versions).

In some versions, a player cannot take their pieces back to the Charkoni/home, unless they have captured/killed at least one of the opponent's pieces. Some versions have a rule where if, for example, two players are playing against each other, and Player 1 captures a piece of Player 2, then Player 2, in their immediate turn after being captured for the first time, captures the same piece Player 1 just used to capture, in the same square where the capture took place, then Player 1's capture/kill is invalidated. Player 1 will need to recapture Player 2's piece again to be able to go back to the Charkoni, but Player 2 is free to go ahead to their respective Charkoni unless the above repeats.

A piece completes its trip around the board by moving back up its central column. Returning pieces may be placed on their side in order to distinguish them from pieces that have just entered. A piece can only return to the Charkoni by a direct throw.

Four of the castle squares are placed so they are exactly 25 moves from the Charkoni. A common strategy is for returning pieces to stay on these squares, where they are safe from capture until a 25 is thrown. The pieces can then finish the game directly. This is where the name of the game comes from.

In some versions, where more emphasis is put on the throwing of the cowries, experienced players can cause cowries to land in a specific way, so there are certain other rules to make the game more exciting.

If a player has their pieces closer to the end, and does not need a higher value throw, there are ways to nullify the higher value throw.
If the player casts a 10, 25, or 30, the player needs to consecutively throw either 10, 25, or 30 three times (including the original throw) to nullify the higher value throw.
If the player casts a 7, the player must consecutively cast a 7 only 3 times (including the original throw) to nullify the throw.
If the player casts a 14, the player must consecutively cast a 14 only 3 times (including the original throw) to nullify the throw.
Since throwing three consecutive throws of 10, 25, or 30 in a single turn nullifies them, players can instead throw a 7 or 14 in between to keep their turn going. EX: A player can throw the following in a single turn: 25, 25, 14, 10, 30, 7, 25, 30, 7, 10, 14, 25, 3.
Once all of the player's pieces are introduced onto the board, every time a player throws a 10, 25, or 30, the player must move their piece one additional square, which is known as PYADA. EX: A player casts 25, 25, 3 in their turn, and their pieces can move a total of 53 squares. However, when all the player's pieces have already been introduced onto the board, the player can then move a total of 55 squares (25+25+3+1+1), meaning 2 pyadas extra.",1860,https://en.wikipedia.org/wiki/Traditional_games_of_India
