name,date,rules,source
jeu de paume,1599,"The game is begun by a service which is always from the same end of the court (the service side). The opposite end of the court where the receiver stands is called the hazard side. The service does not alternate with each game as in lawn tennis. The server changes ends and ceases to serve only when a chase has been laid. The meaning of a chase will be explained below. To be a valid service the ball has to touch the penthouse roof at least once on the hazard side of the net and drop in the service court. If it does not touch the penthouse roof or if it hits a window or the roof it will be a fault. A second serve is available, as in lawn tennis.

A chase is laid on the floor where the ball bounces for the second time, other than in the winning area on the hazard size, without being hit by the player. On the service side a chase is laid wherever the ball bounces for a second time. On the hazard side a hazard chase is laid if the ball bounces the second time between the net and the line parallel to it furthest from the net. If it lands a second time between that line and the back wall, it is a point for the server.

The galleries on either side of the net also count as chases with the exception on the hazard side of the winning gallery. If the ball enters the winning gallery after crossing the net, either without touching the floor or after one bounce, it is a point for the server. Other winning openings which provide outright winners are the dedans on the service side and the grille on the hazard side.

If a chase is laid, the point is not won by that shot, and instead the point is kept in abeyance until the player changes ends. When the players change end, the receiver (who was previously the server) has to beat the chase. The players change ends if two chases have been laid or if one player reaches game point and there is one chase. If it is a hazard chase, the receiver will beat the chase by playing any shot which the server cannot return, either on the floor or by hitting one of the galleries on the service side. If it is a service chase, the receiver will beat the chase by the second bounce landing nearer the back wall than where the chase was laid. To assist in determining where precisely a ball bounces the second time, lines are marked on the floor at intervals of one yard. The figures above the lines on the opposite wall show the number of yards measured, on the service side, from the back wall and, on the hazard side, from the service line. The nearer a chase on the service side is to the back wall, the more difficult it is to beat.

When the players change ends, the first point to be played is the chase. The marker will call out the chase which the receiver hopes to beat. If the chase is exactly on a yard line, the marker will call out the number of yards, eg ""chase 2 and 3"" means two and a half yards from the back wall. If the chase falls between a yard and a half-yard line, the marker will call out ""better than"" or ""worse than"" the yard line, depending on whether the ball fell nearer the back wall, or further from the back wall, than the yard line. If the ball went into a gallery, the marker calls out the name of that gallery, eg the Last Gallery. Each gallery has a line on the floor opposite to the centre of the gallery. If the chase is laid on the floor between galleries, the marker calls out ""better / worse than"" say, the Second Gallery.",https://balls.com/rules/jeu-de-paume-game-of-the-palm.html
caber toss,1848,"In the caber toss, a full-length log, usually made of Scots pine, is stood upright and lifted by the competitor using both hands under the bottom of the caber to rest against their body.

The competitor then runs forward, building momentum, before tossing the caber into the air so that it turns end over end with the upper end landing before the end originally held by the competitor follows through and hits the ground. The aim is for the caber to land in line with the original run. If it is straight the toss is said to be in the 12 o'clock position. Competitors are judged on how closely their toss lands to 12 o'clock.",https://www.ncpedia.org/media/caber-toss
petanque,1907,"At the very start of the game, for the first round (“la premiere mène”), we randomly draw which team goes first.

1. The starting team draws a small circle on the floor. (There are also small prefabricated plastic or metal circles that can be bought and used. But usually, tracing a circle with your foot or a stick in the dusty ground works just fine!)
Every player will then have to throw their boules from the circle during that round (in other words, this will be the starting point for all players).

2. The first player throws le cochonnet, which must land anywhere between 6 meters and 10 meters from the starting circle (otherwise it’s too easy / too hard and you need to throw the cochonnet again.)

3. A player from the opposing team throws their first boule, as close to the cochonnet as possible (since that is how you win the game!)

Remember the rule for throwing your boules when playing pétanque:

Both feet need to be within the circle and on the ground. (Therefore, there is no running before throwing the boule!)

5. The team who does not have the point throws the next boule and continues to do so until they gain the point or run out of boules.

The players within one team can play in any order, depending on whether they require the skills of one of their “pointeurs” or “tireurs”!

Pointer = to point (to throw the boule so that it gets as close to the jack as possible)
Un pointeur = a pétanque players whose task is to point / to aim at the jack.
Tirer = to knock away an opponent’s boule – a good way to get rid of the boules of the opposing team that are close to the cochonnet! By the way, if the cochonnet is moved/knocked away by a ball, the game still goes on (but it’s not very ethical to do so deliberately!)
Un tireur = a pétanque player who is skilled at knocking away the opponent’s boules (that is, not me!)
6. At the end of an end, the team with the boule closest to the cochonnet scores one point for each of its boules that is closer than the opposing team’s closest boule.
",https://frenchyourway.com.au/how-to-play-petanque-rules-of-petanque
bocce,1753,"Bocce is played with eight large balls and one smaller target or object ball called a pallina. There are four balls per team and they are made of a different color or pattern to distinguish the balls of one team from those of the other team.

The game is played with two teams, with each team having one, two, or four players. For four player teams, each player throws one ball. For two player teams, each player throws two balls. For one player teams, each player throws four balls. When there are multiple players on a team, a playing rotation is determined at the start of a game and is maintained throughout the entire game.

A game begins with the toss of a coin. The team that wins the coin toss can choose to either have first toss of the pallina or the color of the balls they will use. To start a game, the pallina is rolled or tossed by a member of the team having won the coin toss. A player can toss the pallina any distance as long as it passes the center line of the court and stays within the boundaries of the court. If the player fails to toss the ball properly into play, a member of the opposing team will toss the ball into play. If the opposing team fails to properly toss the pallina into play, the toss reverts to a member of the original team.

The player tossing the pallina must deliver the first ball. If the ball lands outside of the boundaries of the court, that team must roll again until the first ball is put into play. Otherwise, that player steps aside and the opposing team will then deliver their balls until one of its Bocce balls is closer to the pallina or has thrown all its balls. The ""nearest ball"" rule governs the sequence of thrown balls. The side whose ball is closest to the pallina is called the ""in"" ball and the opposing side the ""out"" ball. Whenever a team gets ""in"", it steps aside and allows the ""out"" team to deliver. The other team throws until it gets its ball closer (not ties) to the pallina. This continues until both teams have thrown all their Bocce balls. After both teams have exhausted all their balls, a frame is over and points are awarded. The game resumes by teams throwing from the opposite end of the court. The team that was awarded points in the previous frame begins the next frame by tossing the pallina into play. 

All balls must be thrown underhanded. A team has the option of rolling, tossing, bouncing, etc. its ball down the court provided it does not go outside the boundaries of the court or the player does not violate the foul line. The foul line is used to deliver all balls down the court with the intent of getting a ball closer to the pallina, knocking the opponent's ball away from the pallina, or hitting the pallina so that it ends up closer to your team's ball. 

A player should not step on or over the foul line before releasing any ball. If a player steps over the foul line, the player will receive one warning. For a player that commits a second foul line infraction, the team fouled against will be awarded points as they were immediately proceeding the foul and the frame will end. The team committing the foul will be awarded no points for the frame. Or, the fouled against team may have the option of declining the penalty and completing the frame.

Any ball that goes outside the boundaries of the court is considered a dead ball and is removed immediately from play until the end of a frame. If the pallina is knocked outside the boundaries of the court during play, the frame ends with no points awarded and a new frame is started.

At the end of each frame, points will be awarded. Only one team scores in a frame. One point is awarded for each ball that is closer to the pallina than the closest ball of the opposing team. In the event that the closest ball of each team is the same distance from the pallina, no points will be awarded and the pallina returns to the team that delivered it. Only balls which are distinguishably closer to the pallina than any of the opponent's balls are awarded points. All measurements should be made from the center of the pallina to the edge of a Bocce ball. Games are played to 16 points with the first team reaching 16 points being the winner of a game.","https://www.backyardbocce.com/basic-rules/#:~:text=Only%20balls%20which%20are%20distinguishably,the%20winner%20of%20a%20game."
curling,1541,"Teams of four take it in turns to curl two rocks towards the target area with the scores being counted after all 16 rocks have been sent down the ice.
International matches have a time limit of 73 minutes per side with two timeouts lasting a minute each. 10 minutes and one timeout are permitted per extra end in the event of a tie.
The stone must be released its front edge crosses a line called the hog. Foul throws are removed from the ice before they have come to rest or in contact with other rocks.
Sweeping may be done by two members of the team up to the tee line, whilst after that point only one player can brush. After the tee one player from the opposing side may also sweep
A stone touched or moved when in play by a player or their broom will either be replaced or removed depending on the situation.
The team to go first is decided by coin toss, “draw-to-the-button” contest or, in Olympic competition using win-loss records. Subsequently the team that failed to score in the previous end has the advantage of going last, called the hammer throw.
A team may concede if they feel they cannot win, although depending on the event and stage of event they may have to wait until a certain number of ends have been completed.
Fair play is of huge importance so there is a culture of self-refereeing with regards fouls and this is a big part of curling.",www.rulesofsport.com
bandy,1882,"Bandy - Bandy Ball is played on ice, using a single round ball. Two teams of 11 players each compete to get the ball into the other team's goal using sticks, thereby scoring a goal. The game is designed to be played on a rectangle of ice-field which is the same size as a football (soccer) field. Bandy also has other rules that are similar to soccer: each team has 11 players, one of which is a goalkeeper. A standard bandy match consists of two halves of 45 minutes each. The offside rule is also deployed. A goal cannot be scored from a stroke-in or goal throw, but unlike soccer, a goal cannot be scored directly from a stroke-off or corner stroke. And all free strokes are “direct” and allow a goal to be scored without another player touching the ball. The team that has scored more goals at the end of the game is the winner; if both teams have scored an equal number of goals, then the game is a draw. There are exceptions to this rule, however. 
In league competitions games may end in a draw, but in some knockout competitions if a game is tied at the end of regulation time it may go into extra time, which consists of two further 15-minute periods. If the score is still tied after extra time, the game will be replayed. As an alternative, the extra two times 15-minutes may be played as ""golden goal"" which means that the first team that scores during the extra-time wins the game. If both extra periods are played without a scored goal, a penalty shootout will settle the game. The teams shoot five penalties each and if this doesn't settle the game, the teams shoot one more penalty each until one of them misses and the other scores.

The primary rule is that the players (other than the goalkeepers) may not intentionally touch the ball with their heads, hands or arms during play. Although players usually use their sticks to move the ball around, they may use any part of their bodies other than their heads, hands or arms and may use their skates in a limited manner. Heading the ball will result in a five-minute penalty.


In typical game play, players attempt to propel the ball toward their opponents' goal through individual control of the ball, such as bydribbling, passing the ball to a team-mate, and by taking shots at the goal, which is guarded by the opposing goalkeeper. Opposing players may try to regain control of the ball by intercepting a pass or through tackling the opponent who controls the ball; however, physical contact between opponents is limited. Bandy is generally a free-flowing game, with play stopping only when the ball has left the field of play, or when play is stopped by the referee. After a stoppage, play can recommence with a free stroke, a penalty shot or a corner stroke. If the ball has left the field along the sidelines, the referee must decide which team touched the ball last, and award a restart stroke to the opposing team, just like football's throw-in.",https://hockeygods.com/hockeys/15-bandy
archery,1931,"Equipment: Archers use a bow and arrows to shoot at a target. The bows can be recurve, compound, or longbows, and the arrows must be made of specific materials and meet certain length and weight requirements.
Target: The target is generally a circular board made of straw or foam with colored rings on it. The target is typically 122 cm in diameter and is placed at a distance of 18 meters for indoor competitions and 70 meters for outdoor competitions.
Scoring: The scoring is based on where the arrow lands on the target. The center of the target, called the bullseye, is worth the most points, with the outer rings worth progressively fewer points.
Rounds: Archery competitions are made up of several rounds. Each round consists of a set number of arrows shot at a specific target. The number of rounds and arrows can vary depending on the competition.",www.rulesofsport.com
afl,1859,"Each team has 18 players on the field, with four interchange players who can substitute for players on the field. Players wear a uniform consisting of a jumper, shorts, and boots with studs. The oval ball is made of leather and is slightly larger than a soccer ball.
Starting the Game: The game starts with a center bounce in the center square, where a neutral umpire throws the ball up into the air. The teams then compete to gain possession of the ball and move it towards their attacking goal.
Ball Movement: Players can move the ball by kicking, handballing (punching the ball with a closed fist), or running with the ball. The ball must be bounced every 15 metres if a player runs with it.
Scoring: Points are scored when the ball passes through the two large goal posts or the smaller behind posts located at either end of the oval. A goal, worth six points, is scored when the ball is kicked between the two large posts without otherwise being touched. If the ball passes between the two large posts but is not kicked, a behind worth one point is scored. A behind is also scored when the ball passes between the large and small posts.
Tackling: Players can tackle an opponent who has possession of the ball to try and win possession for their team. A successful tackle involves wrapping both arms around the opponent and bringing them to the ground. High tackles or tackles that involve contact to the head are penalized.
Marking: If a player catches the ball from a kick that has traveled at least 15 metres, without the ball touching the ground or being touched by another player, it is called a mark. The player who takes the mark is then awarded a free kick and cannot be tackled",www.rulesofsport.com
badminton,1877,"The winner of the toss can elect to serve or receive in the first game, or to choose to play at a particular end of the court. The loser of the toss makes the remaining choice.

Basic Aim
You win a rally if you hit the shuttle over the net and onto the floor of the opposing side's court.

You lose the rally if you hit the shuttle into the net, or over the net but outside of the opposing side's court. You also lose the rally if, for example, the shuttle touches you or your clothing, or if you hit it before it crosses the net.

Serving
The service courts are slightly different for singles and doubles. A shuttle on the line is ""in"". The server and receiver stand in the diagonally opposite service courts (always right hand at the start of the game) but after the serve players may move anywhere on their side of the net. The server must obey laws designed to force underhand delivery of the serve, and the receiver must stand still until the service is struck.
Matches comprise of the best of three games. Each game starts at 0-0 (called ""love-all""). If the serving side wins a rally, it scores a point, and serves again but from the alternate service court. If the receiving side wins the rally, the score remains unchanged and the service passes to the next player in turn. In singles, this is the opponent: in double it's either the partner or, if both players have just had a turn of serving, one of the opponents.

In men's singles and doubles events, 15 points wins a game. However, if the score reaches 14-14, the side which first reached 14 can choose either to play to 15, or to set the game to 17 points. The final score will reflect the sum of the points won before setting plus the points gained in setting.

Scoring in women's singles is slightly different - 11 points wins a game and there is the option to set to 13 points at 10-10
",www.rulesofsport.com
baseball,1845,"Baseball is played on a diamond-shaped field, with a base at each corner. The field is divided into two main sections: the infield and the outfield. The infield contains the bases and is where most of the action takes place. The outfield is where the ball is hit and where the defensive players attempt to catch the ball.

Each baseball team consists of nine players, and each team takes turns playing offense and defense. The game begins with a player from the defensive team, known as the pitcher, throwing the ball to a player from the offensive team, known as the batter. The batter's objective is to hit the ball into play.

The pitcher stands on the pitcher's mound, and throws the ball to the batter, who is standing at the home plate. The batter attempts to hit the ball to a part of the field where the fielders cannot reach it.

If the batter hits the ball into fair territory, he or she runs to first base. If the ball is caught by a fielder, the batter is out. If the ball is hit out of the playing field, it is a home run.

After hitting the ball, the batter then runs to first base, then on to second, third and home, or as many as he can reach before the fielder returns the ball. If the batter reaches all bases and back home, he scores a run. If the batter reaches a base, and cannot continue as the ball has been returned, he can safely stay at the base and continue his run when the next batter comes to bat.

A batter is out if the fielder touches first base with the ball before the batter reaches it, or if the fielder touches the batter with the ball between bases, or if the fielder catches the ball before it lands. The batter is also out if he swings and misses three times, which is called a strike out.

When three players are out, the team's innings is over, and the opposing team has a turn at batting. Each team plays nine innings. The team with the most runs at the end of the game is the winner.
",www.rulesofsport.com
basketball,1891,"Fouls and Penalties: Basketball umpires examine actions in the ring, penalizing players for infractions. Personal fouls, for example, entail physical contact with an opponent, while technical fouls involve non-physical violations like disrespect towards an official.
Time Constraints: Each professional game lasts 48 minutes, broken into four 12-minute quarters. If a game ties, an additional 5-minute overtime period continues play.
Scoring: Basket points vary based on shot location. A successful shot from behind the three-point line earns three points, while shots within this boundary earn two. Free throws count for one point.
Inbound Plays: Game continuation after ball-out-of-play scenarios entails inbound plays. The team that is not responsible for the sideline, baseline, or end-line breach restarts play from a boundary line.
Jump Ball: Every basketball game commences with a jump ball. The referee tosses the ball into the air in the center circle, and one player from each team jumps to contest it.
Possession Rules: Teams alternate possession after each successful basket, with the conceding team initiating subsequent play. Basketball also includes a shot clock, usually 24 seconds, resetting every time the ball hits the rim.",www.rulesofsport.com
rock paper scissors,-206,"Rock Paper Scissors is beautiful and brilliant in its simplicity: Two players. Three possible moves. One ultimate outcome. Rock beats scissors, which beats paper, which beats rock. Every game ends with a clear winner and loser—or, in the case of the dreaded draw, an instant rematch to crown the champ. ","https://www.annarahmanan.com/the-history-of-rock-paper-scissors-game#:~:text=Rock%20beats%20scissors%2C%20which%20beats,rematch%20to%20crown%20the%20champ."
boxing,1867,"Ring: Boxing matches are held in a boxing ring. The ring is actually a square platform with a raised edge and is usually 16 to 20 feet in size. The corners of the ring are designated as neutral corners, where fighters retreat during breaks.
Weight Classes: Boxers are divided into weight classes to ensure fairness and safety in competition. There are currently 17 weight classes recognized in professional boxing, ranging from minimum weight to heavyweight.
Essential Rules and Regulations: Boxers must wear gloves, a mouthguard, and protective headgear during amateur bouts. Professional boxers do not wear headgear. Boxers are also prohibited from holding, hitting below the belt, or hitting with the head, elbow, or forearm.
Rounds: A boxing match consists of three-minute rounds, with a one-minute rest period between rounds. The number of rounds can vary depending on the level of competition and the sanctioning body.
Referee: A referee is present in the ring to ensure that the boxers follow the rules and regulations. The referee can stop the fight if a boxer is in danger or is unable to defend themselves.
Scoring: Boxing matches are scored by judges at ringside, based on the number of clean punches landed on the opponent. Points are deducted for rule violations, such as hitting below the belt, hitting after the bell, or head-butting.
Knockouts: A knockout occurs when a fighter is unable to continue after being knocked down by their opponent. The referee may also stop the fight if one fighter is significantly ahead on points or if a fighter is injured.
Knockdowns: A knockdown occurs when a boxer is knocked down by their opponent, touching the canvas with any part of their body other than their feet. The fighter has a count of ten seconds to stand back up and continue the fight.",www.rulesofsport.com
canoe kayaking,1924,"Each boat is assigned a lane on the course, which is marked by buoys. Boats are usually seeded based on their previous performance, with the fastest boats receiving the inner lanes.

Races begin with the boats lined up at the start line, with each boat positioned behind a starting gate. Athletes must hold onto the starting gate until the starting signal is given. The races are held over a distance of either 200 meters, 500 meters, or 1,000 meters.

whitewater kayakerwhitewater kayaker in action
Once the race has started, athletes paddle their boats as fast as possible along the course. The race ends when the boats cross the finish line. The order in which the boats cross the finish line determines the winner of the race.

Penalties can be given for a variety of reasons, including false starts, crossing lanes, impeding other boats, or failing to properly navigate a turn. Penalties may result in a time penalty, disqualification, or other consequences, depending on the nature of the violation.",www.rulesofsport.com
