name,rules,date,source
Jianzi,"The shuttlecock (called a jianzi in the Chinese game, or 'Chinese hacky sack' and 'kinja' in English) typically has four feathers fixed into a rubber sole or a plastic disc. Some handmade jianzis make use of a washer or a coin with a hole in the centre.

During play, any part of the body except for the hands can be used to keep the shuttlecock from touching the ground. It is primarily balanced and propelled upwards using parts of the leg, especially the feet. Skilled players may employ an overhead kick.[3] In China, the sport usually has two playing forms:

Circle kick among 5-10 people
Duel kick between two kickers or two sides.
The circle kick uses upward kicks only when keeping the shuttlecock from touching the ground. The duel kick has become popular among younger Chinese players, and uses ""flat kick"" techniques like goal shooting techniques in football. The ""powerful flat kick"" techniques are applied in Chinese games as a major attacking kill.",-202,"https://en.wikipedia.org/wiki/Jianzi#:~:text=Jianzi%20,c%E1%BA%A7u%2C%20and%20it%20is%20the"
Xiangqi ,"Xiangqi is played on a board nine lines wide and ten lines long. As in the game Go (围棋; or Wéi qí 圍棋), the pieces are placed on the intersections, which are known as points. The vertical lines are known as files (Chinese: 路; pinyin: lù; lit. 'road'), and the horizontal lines are known as ranks (Chinese: 線/綫; pinyin: xiàn; lit. 'line').

Centred at the first to third and eighth to tenth ranks of the board are two zones, each three points by three points, demarcated by two diagonal lines connecting opposite corners and intersecting at the centre point. Each of these areas is known as 宮 gōngⓘ, a palace.

Dividing the two opposing sides, between the fifth and sixth ranks, is 河 hé, the ""river"". The river is usually marked with the phrases 楚河 chǔ héⓘ, meaning ""River of the Chu"", and 漢界 hàn jièⓘ, meaning ""Border of the Han"", a reference to the Chu–Han War. Although the river (or Hanchu boundary) provides a visual division between the two sides, only two pieces are affected by its presence: soldiers have an enhanced move after crossing the river, and elephants cannot cross it. The starting points of the soldiers and cannons are usually, but not always, marked with small crosses.

The pieces start in the position shown in the diagram above. Which player moves first has varied throughout history and from one part of China to another. Different xiangqi books advise either that the black or red side moves first.[citation needed] Some books refer to the two sides as north and south; which direction corresponds to which colour also varies from source to source. Generally, Red moves first in most modern tournaments.[1]

Each player in turn moves one piece from the point it occupies, to another point. Pieces are generally not permitted to move through points occupied by other pieces, the exception being the cannon’s capturing move. A piece can be moved onto a point occupied by an enemy piece, in which case the enemy piece is captured and removed from the board. A player cannot capture one of their own pieces. Pieces are never promoted (converted into other pieces), although the soldier gains the ability to move sideways after it crosses the river. Almost all pieces capture using their normal moves, while the cannon has a special capture move described below.


An instance of checkmate that assumes the cannon is safe and Black cannot block the check. The horse is not needed for this checkmate.
The game ends when one player checkmates the other's general. When the general is in danger of being captured by the enemy player on their next move, the enemy player has ""delivered a check"" (照將/將軍, abbreviated as 將 jiāngⓘ), and the general is ""in check"". A check should be announced. If the general's player can make no move to prevent the general's capture, the situation is called ""checkmate"" (將死). Unlike in chess, in which stalemate is a draw, in xiangqi, it is a loss for the stalemated player.

In xiangqi, a player—often with a material or positional disadvantage—may attempt to check or chase pieces in a way such that the moves fall in a cycle, preventing the opponent from winning. While this is accepted in Western chess, in xiangqi, the following special rules are used to make it harder to draw the game by endless checking or chasing, regardless of whether the positions of the pieces are repeated or not:

Perpetual checks with one piece or several pieces are not allowed; doing so results in a loss.
Perpetual chases of any one unprotected piece with one or more pieces, excluding generals and soldiers, are similarly prohibited.[2]
If one side perpetually checks and the other side perpetually chases, the checking side has to stop or be ruled to have lost.
When neither side violates the rules and both persist in not making an alternate move, the game can be ruled as a draw.
When both sides violate the same rule at the same time (note that unlike in western chess, a mutual perpetual check is possible) and both persist in not making an alternate move, the game can be ruled as a draw.
Mutual perpetual check

A mutual perpetual check occurs with (see #Notation below for notation) 1.Hd7+ Hf4+ 2.Ae2+ Hh3+ 3.Af3+ Hf4+ 4.Ae2+ etc.
Different sets of rules set different limits on what is considered perpetual. For example, club xiangqi rules allow a player to check or chase six consecutive times using one piece, twelve times using two pieces, and eighteen times using three pieces before considering the action perpetual.[2]

The above rules to prevent perpetual checking and chasing, while popular, are not the only ones; there are numerous end game situations.[3]",548,"https://en.wikipedia.org/wiki/Xiangqi#:~:text=The%20game%20represents%20a%20battle,rather%20than%20within%20the%20squares"
Go,"Go is an adversarial game between two players with the objective of capturing territory. That is, occupying and surrounding a larger total empty area of the board with one's stones than the opponent.[21] As the game progresses, the players place stones on the board creating stone ""formations"" and enclosing spaces. Once placed, stones are never moved on the board, but when ""captured"" are removed from the board. Stones are linked together into a formation by being adjacent along the black lines, not on diagonals (of which there are none). Contests between opposing formations are often extremely complex and may result in the expansion, reduction, or wholesale capture and loss of formations and their enclosed empty spaces (called ""eyes""). Another essential component of the game is control of the sente (that is, controlling the offense, so that one's opponent is forced into defensive moves); this usually changes several times during play.


The illustration [A] displays the four ""liberties"" (adjacent empty points) of a single black stone. Illustrations [B], [C], and [D] show White reducing those liberties progressively by one. In [D], when Black has only one liberty left, that stone is under attack and about to be captured and eliminated (a state called atari).[22] White may capture that stone (remove it from the board) with a play on its last liberty (at D-1).
Initially the board is bare, and players alternate turns to place one stone per turn. As the game proceeds, players try to link their stones together into ""living"" formations (meaning that they are permanently safe from capture), as well as threaten to capture their opponent's stones and formations. Stones have both offensive and defensive characteristics, depending on the situation.

An essential concept is that a formation of stones must have, or be capable of making, at least two enclosed open points known as eyes to preserve itself from being captured. A formation having at least two eyes cannot be captured, even after it is surrounded by the opponent on the outside,[23] because each eye constitutes a liberty that must be filled by the opponent as the final step in capture. A formation having two or more eyes is said to be unconditionally alive,[24] so it can evade capture indefinitely, and a group that cannot form two eyes is said to be dead and can be captured.

The general strategy is to place stones to fence-off territory, attack the opponent's weak groups (trying to kill them so they will be removed), and always stay mindful of the life status of one's own groups.[25][26] The liberties of groups are countable. Situations where mutually opposing groups must capture each other or die are called capturing races, or semeai.[27] In a capturing race, the group with more liberties will ultimately be able to capture the opponent's stones.[27][28][b] Capturing races and the elements of life or death are the primary challenges of Go.

In the end game players may pass rather than place a stone if they think there are no further opportunities for profitable play.[29] The game ends when both players pass[30] or when one player resigns. In general, to score the game, each player counts the number of unoccupied points surrounded by their stones and then subtracts the number of stones that were captured by the opponent. The player with the greater score (after adjusting for handicapping called komi) wins the game.

In the opening stages of the game, players typically establish groups of stones (or bases) near the corners and around the sides of the board, usually starting on the third or fourth line in from the board edge rather than at the very edge of the board. The edges and corners make it easier to develop groups which have better options for life (self-viability for a group of stones that prevents capture) and establish formations for potential territory.[31] Players usually start near the corners because establishing territory is easier with the aid of two edges of the board.[32] Established corner opening sequences are called joseki and are often studied independently.[33] However, in the mid-game, stone groups must also reach in towards the large central area of the board to capture more territory.

Dame are points that lie in between the boundary walls of black and white, and as such are considered to be of no value to either side. Seki are mutually alive pairs of white and black groups where neither has two eyes.

Ko (Chinese and Japanese: 劫) is a potentially indefinitely repeated stone-capture position. The rules do not allow a board position to be repeated. Therefore, any move which would restore the previous board position would not be allowed, and the next player would be forced to play somewhere else. If the play requires a strategic response by the first player, further changing the board, then the second player could ""retake the ko,"" and the first player would be in the same situation of needing to change the board before trying to take the ko back. And so on.[34] Some of these ko fights may be important and decide the life of a large group, while others may be worth just one or two points. Some ko fights are referred to as picnic kos when only one side has a lot to lose.[35] In Japanese, it is called a hanami ko.[36]

Playing with others usually requires a knowledge of each player's strength, indicated by the player's rank (increasing from 30 kyu to 1 kyu, then 1 dan to 7 dan, then 1 dan pro to 9 dan pro). A difference in rank may be compensated by a handicap—Black is allowed to place two or more stones on the board to compensate for White's greater strength.[37][38] There are different rulesets (Korean, Japanese, Chinese, AGA, etc.), which are almost entirely equivalent, except for certain special-case positions and the method of scoring at the end.",-2852,"https://en.wikipedia.org/wiki/Go_(game)#:~:text=Go%20is%20an%20adversarial%20game,%22formations%22%20and%20enclosing%20spaces."
Mahjong,"Each player in turn, in counter-clockwise direction, draws a tile from the wall; as long as the tile drawn is not one of the bonus tiles, the player proceeds to discard a tile (either the tile just drawn, or a tile in the hand) to maintain a hand of 13. The discarded tile is thrown into the centre and, if desired, the player announces out loud what the piece is. The other players have an opportunity to seize the discarded tile; if no one takes it, the turn continues to the next player. Play continues this way until one player has a legal winning hand and calls out the win (each region does this call differently—no Asian version uses the word ""mahjong"" to signal a win) while revealing their hand.

There are four different ways that regular order of play can be interrupted:

A bonus tile (flower or season) is drawn
A meld (pung, kong, or chow) is made from a discard
Going mahjong (declaring a winning hand)
Robbing a kong
During play, each player's hand should always be 13 tiles (meaning in each turn a tile must be picked up and another discarded). The count of 13 tiles do not include any bonus tiles (flowers and seasons), which are set to the side, nor does it include the fourth added piece of a kong. If a player is seen to have fewer or more than 13 tiles in their hand outside of their turn they are penalised.
",1801,https://en.wikipedia.org/wiki/Mahjong
Qianghuapao,"Firework-snatching, known in China as Qianghuapao, is a traditional sport of many ethnic groups including the Zhuang, Miao and Dong. The traditional way of playing is to launch a firework into the air and young men compete to get it. The arena could be any places, even ponds, cliffs, and so it is called a ""game of brave guys"". But the game has been improved into a new style, similar to American football, spanning 40 minutes in two 20-minute halves, with a ten minute break. The firework has been replaced by safer rubber disc with a diameter of 15 cm.",2015,https://www.traditionalsports.org/traditional-sports/asia/qianghuapao-china.html
Kendama,"The general concept of kendama is pulling the ken up and balancing the tama somewhere on the ken, or vice versa. There are not any specific rules on how to play kendama. However, bending the knees while playing kendama is a method that experts use.[4] Endless tricks and trick combinations can be made with just ken grip, sara grip, tama grip, and candle grip by themselves or together in a combination. Some examples of tricks in each of these grips are as follows:

Ken grip
Spike: This trick involves the hole in the tama and the spike.

Hold the ken with the spike pointing straight up
Hold the ball with the off hand to ensure the ball is still before starting the motion of this trick
Bend the knees
Pull the tama up with the entire body
Catch the ball in the spike by directing the spike underneath the hole in the tama[5]
Swing Spike: a variation of the Spike.

Hold the ken in a way similar to preparing a spike
Hold the ball with the opposite hand and slightly bring it back towards the body, keeping the tension in the string
Let go of the ball and swing the ball out in front of self
Tug the string a bit to make the ball rotate the hole 360° towards self
Catch the tama on the spike by connecting the spike and the hole together.[6]
Around Japan: This trick is a combination of the big cup, small cup, and the spike.

Pull the ball up into the small cup
Hop the ball over to the big cup by rotating the wrist to the right (and vice versa if left handed)
Keep an eye on the hole, and hop the ball up onto the spike, connecting the hole and spike together[7]
Note: The following combination is also ok: big cup→small cup→spike.",1501,https://en.wikipedia.org/wiki/Kendama
Shogi,"Each player's nine Pawns are placed on the third nearest row to the player. The Rook and the Bishop are placed on the second row one space in from the edge, the Rook on the right, the Bishop on the left. The remaining pieces are placed on the row nearest to the player in the following way: the Lances in each corner, the Knights on the next square in from the corner, the Silver Generals next to the Knights. The middle square on the nearest row holds the King with the Gold Generals either side of him.

The objective of Japanese Chess is to capture the opposing player's King. The King is never actually taken; instead the aim is put the opponent's King into a position such that the opposing player can do nothing to avoid the King being taken next turn. As soon as this happens, the victorious player who has just moved says ""checkmate"" and the game is over.

Basic Play for Shogi
Players take turns to move a piece that belongs to them. Each piece is moved according to different rules but no two pieces can occupy the same square. If a piece moves so that its final position is a square occupied by an opposing piece, the opposing piece is ""captured"" or ""taken"" and is removed from the board. Captured pieces should be placed face up within easy view of both players. It is not compulsory to capture.


King - moves one space in any direction diagonally or orthogonally EXCEPT that the King cannot move onto a square that is attacked by an opposing piece.

Gold General - moves one space in one of 6 directions - forwards, diagonally forwards, sideways or backwards.

Silver General - moves one space in one of 5 directions - forwards, diagonally forwards or diagonally backwards.

Knight - moves two squares forwards and then one square sideways. Only two squares are available to the Knight but, in compensation, it is the only piece that can jump over other pieces.

Lance - moves any number of spaces forwards.

Rook - moves any number of spaces orthogonally but cannot jump over another piece.

Bishop - moves any number of spaces diagonally but cannot jump over another piece.

Pawn - moves one square forwards only.",794,https://www.mastersofgames.com/rules/shogi-rules.htm?srsltid=AfmBOoqxdWtP8IQvMyb2l997ZGENzHCLOhnidKn7brnoxPcZk6eyfRdL
yutnori,"The game is played between two partners or two teams who play in turns, sometimes it is played with more teams. There is no limit in the number of participants in a game, which means that the game can be played by a considerable group. When played with large groups it is not uncommon for some group members never to cast the sticks: they still participate by discussing the strategy.

The start of the game is determined by each team casting the yut-sticks. The team with the highest score starts first.

Each team then casts the sticks in turn, then moves a mal according to the score achieved. One turn usually consists of only one cast. However, a player achieving a yut or mo earns an extra cast for the turn; if the player casts a yut or mo at the second cast, they earn an extra cast again, so there is no limit to the number of times a player can cast again before the end of a turn, provided they keep casting yuts or mos. The respective scores can be played separately if wished, each given to another mal (or group of mals, see below), but a score earned from one cast cannot be split into two moves—for example, a geol (advance three steps) cannot be split into a do (one step) and a gae (two steps).


The four possible courses of the game of Yut
As long as there are mals outside the board, a team can either put a new mal onto the board according to the scores it got, or move a mal already on the board. The mals travel around the board and can move forward only. However, when landing on one of the big stations (in the corner and the centre), the team can choose to take the shorter way should they wish to. There are four possible courses, the default course being longest one with no abbreviation (No. 4).

If a mal lands on a station occupied by the opponent's team, the opponent's mal is removed from the course and returned to the starting position, and the current player is allowed to cast again.

If a mal lands on a station occupied by the own team, these mals can form a group and travel together from that point on.  However, this bears a risk: If an opponent lands their mal on a station occupied by a group of mals of the opponent, all mals in the group are removed from the course.

For example, if one casts two yuts and one do at their first turn in the game, possible moves would include (see The Stations below for the station names):

Put a mal on the board at the yut station (uses the first yut score); advance to mo (uses the do score), then to sok-yut (uses the second yut).
Put a mal on the board at the yut station (uses first yut score); put another mal on the board at the same yut station (uses the second yut score), causing the two mals to move together from then on; advance them to mo (uses the do).
Put a mal on the board at the yut station (uses the first yut); advance to duet-geol (uses the second yut), then to duet-yut (uses the do).
The game is won by the team who brings all their mals home first, that is complete the course with all their mals. A course is completed if a mal passes the station where the game is started (cham-meoki). Landing on cham-meoki is no finish, but any score going ""beyond"" this station completes a home run. Yut is often played for three or more wins",-57,https://en.wikipedia.org/wiki/Yunnori
ssireum,"Ssireum is conducted within a circular ring, measuring approximately 7 meters in diameter, which is covered with mounded sand. The two contestants begin the match by kneeling on the sand in a grappling position (baro japki), each grabbing a belt—known as a satba (샅바)[10]—which is wrapped around his opponent's waist and thigh. The wrestlers then rise while retaining their hold on the other's 'satba.' The match is awarded to the wrestler who forces the other contestant to touch the ground with any part of his body at knee level or higher. Unlike sumo, pushing an opponent outside of the ring does not warrant a win, just a restart. Normally, professional ssireum is contested in a best-out-of-three style match.

There are three judges, a chief referee and three sub referees. The chief judge is positioned inside the ring, whereas the sub referees are located on the outside of the ring, one to the right and others to the left. If an unfair judgment is called or the chief referee is unable to render a decision, the sub referees can request a revocation of the decision or a rematch. In addition, they can recommend the cessation of the match when an injury occurs. The referees' decisions throughout the competition are absolute and held in the highest regard, meaning that athletes cannot challenge any judgments declared during the match.

Today there are also women ssireum wrestlers. Women wrestle only among themselves but follow the same rules (except that men are topless whereas women wear tops).

There are four weight classes in professional wrestling: flyweight (Taebaek, 75 kg), lightweight (Geumgang, 90 kg), middleweight (Halla, 105 kg), and heavyweight (Baekdu, under 160 kg), named after the four famous peaks in Korea.[11]

Traditionally ssireum was contested with the top portion of the trousers rolled down to provide grip. The use of ""satba"" was invented with the birth of professional ssireum in the mid-20th century. There is a movement to restore this traditional method of grip, in the spirit of maintaining its cultural and traditional roots, but it has met with some resistance as the use of ""satba"" has become entrenched in the modern form.

The professional league is dwindling in popularity and many wrestlers have turned their attention to mixed martial arts fighting, even though ssireum involves no striking or submissions of any kind, as a means of making a living. Choi Hong-man, former champion of ssireum, enjoyed notable success in the K-1 scene. Unfortunately, the future of professional ssireum remains bleak, with only one team remaining. However, it can also be argued that ssireum is beginning to undergo global expansion as a popular martial arts sport, alongside taekwondo and hapkido.

It is important to note the differences between ssireum and sumo. Ssireum has remained largely a national/traditional sport. Physical hits such as slaps and blows are not permitted in ssireum, though they are in sumo. In both sports, the competitors are often quite large, though Korean wrestlers tend to be leaner. However, size does not guarantee success in either sport. Although both sports are quite similar, they differ in characteristics as well as values.

The national governing body of the sport in Korea, Korean Ssireum Organisation, has made a claim that ssireum is characterised as a ""peaceful competition focusing on harmony and unison"", reflecting the ""philosophical outlook of the Koreans""",-37,https://en.wikipedia.org/wiki/Ssireum
shagai,"This is a traditional Mongolian shepherd's game. All that is required are a set of sheep ankle bones and a grassy field, though it can also be played inside as well. It supposedly pre-dates Chingis Khan.

Players take turns flicking their bones that are matching ""sides"" and collecting the pieces that fall together.

Depending upon what part of Mongolia you are from, there might be slight variations on gameplay, but the core system is the same.",1162,https://mongolianstore.com/shagai-mongolian-anklebone-games/?srsltid=AfmBOopd6zP1K7MNi8HnD7CUhZfXNWvKPVuXJrYvxPozpp-wIUXMkqdF
Naadam’s Three Sports - wrestling,"A total of 512 or 1024 wrestlers meet in a single-elimination tournament that lasts nine or ten rounds. Mongolian traditional wrestling is an untimed competition in which wrestlers lose if they touch the ground with any part of their body other than their feet or hands. When picking pairs, the wrestler with the greatest fame has the privilege to choose his opponent. Wrestlers wear two-piece costumes consisting of a tight shoulder vest (zodog) and shorts (shuudag). Only men are allowed to participate.

Each wrestler has an ""encourager"" called a zasuul. The zasuul sings a song of praise for the winning wrestler after rounds 3, 5, and 7. Winners of the 7th or 8th stage (depending on whether the competition features 512 or 1024 wrestlers) earn the title of zaan, ""elephant"". The winner of the 9th or 10th stage is called arslan, ""lion"".[11] In the final competition, all the ""zasuuls"" drop in the wake of each wrestler as they take steps toward each other. Two-time arslans are called the titans / giants, or avraga",1201,"https://en.wikipedia.org/wiki/Naadam#:~:text=The%20games%20are%20Mongolian%20wrestling%2C,but%20not%20in%20Mongolian%20wrestling"
horse racing,"Unlike Western horse racing, which consists of short sprints generally not much longer than 2 km, Mongolian horse racing as featured in Naadam is a cross-country event, with races 15–30 km long. The length of each race is determined by age class. For example, two-year-old horses race for 16 km (10 mi) and seven-year-olds for 27 km (17 mi). Up to 1000 horses from any part of Mongolia can be chosen to participate. Race horses are fed a special diet.

Children from 5 to 13 are chosen as jockeys and train in the months preceding the races. While jockeys are an important component, the main purpose of the races is to test the skill of the horses.[12]

Before the races begin, the audience sings traditional songs and the jockeys sing a song called Gingo. Prizes are awarded to horses and jockeys. The top five horses in each class earn the title of airgiyn tav and the top three are given gold, silver, and bronze medals. The winning jockey is praised with the title of tumny ekh or leader of ten thousand. The horse that finishes last in the Daaga race (two-year-old horses race) is called bayan khodood (meaning ""full stomach""). A song is sung to the bayan khodood wishing him luck to be next year's winner",-2975,https://e-history.kz/en/news/show/8294
archery,"In this competition both men and women may participate. It is played by teams of ten. Each archer is given four arrows; the team must hit 33 ""surs"". Men shoot their arrows from 75 meters away while women shoot theirs from 65 meters away. Traditionally the archers wear their national clothing (Deel) during the competition. All the archers wear leather bracers up to the elbow on their outstretched arm, so that the deel's cuff does not interfere with shooting.

Mongolian archery is unique for having dozens of surs as targets. Each sur is a small woven or wooden cylinder. They are placed on top of each other forming a wall three-high, which is approximately 8 inches high by 5 feet wide. Knocking a sur out of the wall with an arrow counts as a hit, though knocking a sur out of the centre will bring a competitor more points. When the archer hits the target, the judge says uuhai which means ""hooray"". After each hit, an official repairs the damaged wall and makes it ready for the next attempt. The winners of the contest are granted the titles of ""national marksman"" and ""national markswoman",-20000,https://e-history.kz/en/news/show/8294
assyk,"Each player has their own set of ‘Assyks’, traditionally made out of the talus bone of a sheep, and a ‘Saka’ dyed in bright colours. Players use their Assyk to knock out other Assyks from the field, and the focus is on the position of the bone. Main positions are the following (high ranking first): alshi (camel); tai (horse); Buk (goat) and shik (sheep).",2011,https://e-history.kz/en/news/show/8294
kokapar,"This is a very popular masculine sport where two teams (from five to ten persons in each) of horse riders grapple over a decapitated goat, which they try to deposit in the opponent’s goal. The distance between two goalposts is 300-400 metres. It lasts 15 minutes. In case of a draw, horsemen have the second round. If there is no result again, a competition between two players is organised.",1200,https://e-history.kz/en/news/show/8294
kyz kuu,"Two horse riders (a man and a woman) participate in it. To start the competition, a female rider stands at a certain distance behind a horseman. She starts riding at full speed and, as soon as she reaches him, male rider moves. Both race towards the finishing line. If the man wins he has the right to kiss the girl. Otherwise, she may beat him with a whip.",800,https://e-history.kz/en/news/show/8294
baiga,"Baiga is a horse racing over short and long distances (up to 100 kilometres). It is believed that the national sport originated with the need of Kazakh nomads to promote endurance in horses. Traditionally, the participants are Kazakh boys between 7 and 14 years of age. However, sometimes professional jockeys can compete with each other as well.",1867,https://e-history.kz/en/news/show/8294
audaryspak,"The rules of this national sport are quite simple. Two wrestlers compete with each other and the winner is the rider who wrestles his opponent to the ground first. Only adult men, who are physically strong and skilful riders, have the right participate in this competition. In the past, a wrestler could represent his clan or village.",2012,https://e-history.kz/en/news/show/8294
kumis alu,"During the competition, a horse rider bends to pick up a coin or handkerchief from the ground. The competitor who gathered more coins in his round is the winner.
The traditional games listed above are still practised in Kazakhstan during national celebrations. And even if they have no practical effect nowadays, Kazakh sports are integral parts of our culture.",2015,https://e-history.kz/en/news/show/8294
chinese checkers,"A toss of a coin decides who starts. Players take turns to move a single peg of their own colour. In one turn a peg may either be simply moved into an adjacent hole OR it may make one or more hops over other pegs.

Where a hopping move is made, each hop must be over an adjacent peg and into a the vacant hole directly beyond it. Each hop may be over any coloured peg including the player's own and can proceed in any one of the six directions. After each hop, the player may either finish or, if possible and desired, continue by hopping over another peg. Occasionally, a player will be able to move a peg all the way from the starting triangle across the board and into the opposite triangle in one turn!

Pegs are never removed from the board. However, once a peg has reached the opposite triangle, it may not be moved out of the triangle - only within the triangle.

The question soon arises as to whether it is possible to move a peg into a triangle that is the starting or target triangle for another player. House rules apply but Masters Games suggests the following: A peg can be hopped through such a triangle but is not allowed to come to rest in that triangle.",1892,https://www.mastersofgames.com/rules/chinese-checkers-rules.htm?srsltid=AfmBOoqQwYCZdUZp1RvoRjz7AOcciUzAZDzbY-SCtLpTcJmllRdmlpaj
Ak Terek – Kok Terek,"s a fun and exciting game for children. Two teams line up against each other at a distance of 20 meters in one line, holding hands. The team that starts the game asks another team: “White poplar- green poplar. Which of us do you want?” The other team, having consulted, answers to the question in the same way: “We want (name of the player) to join us”. The player who is called by the team runs up and tries to break the chain between any two members. If he succeeds, he takes one player from the opposing team to his own. In case of failure - he remains in this team himself. Then the teams switch the roles, and the game continues. The winning team is the one who took away more of the ‘opponent’ players.",2015,ichlinks.com (repository of informaton)
kachma top,"The game participants are divided into two teams. On a field measuring 50x100m, a line (maaru) is marked at both ends. By drawing lots, an offensive team (team of hitters) is appointed, which positions itself on the court. The ball server (pitcher) is selected (the ball is rolled up from animal fur). Then the order of hitters is established. The hitter enters the line, picks up a meter-long stick and strikes the tossed ball. Hitting as hard as possible, he must run to the opposite line. Then the players change.",2014,ichlinks.com (repository of informaton)
besh top,"It is one of the ancient games that is mentioned in the Manas epic.
This game is played by young girls in small groups of 2-6 people. A game is played with 5 pebbles with smooth surface.
Each player performs a series of throwing and catching exercises with those pebbles. Exercises get more and more challenging from level to level. There are usually 7 levels but players can improvise and add extra levels based on mutual agreement.",2014,ichlinks.com (repository of informaton)
buzakashi,"An equestrian game in which riders compete to gain control of a goat or calf carcass that has been decapitated and dehoofed. Buzkashi likely originated as an entertaining variant of ordinary herding or raiding. It is popular predominantly among Turkic peoples in Afghanistan but can be found in the Muslim republics of Central Asia and in parts of northwestern China. Buzkashi has two main forms. The traditional version, tudabaray, has no formal teams and is not played within clearly defined boundaries. Games often involve hundreds of riders, and the objective is to gain sole possession of the carcass and ride it free and clear of all other riders",901,https://www.monkboughtlunch.com/uzbek-kokpari-buzkashi/
