Title,Category,Poem,Originality Score (1–10),Source,Graph-Based Creativity Score
What lips my lips have kissed,Loss,"Lips that touched mine, now cold and still,
Memories of love, that echo and chill,
A heart that's lonely, a soul that's worn,
Longing for love, that's lost and torn.",10,LLAMA,0.334
One Need Not Be a Chamber,Fear,"The darkest fears, are those within,
A mind that's haunted, by ghosts that spin,
The corridors of thought, a labyrinth to explore,
A fear that's hidden, yet evermore.",7,LLAMA,0.503
Root Cellar,Survival,"In darkness stored, a secret life,
A haven for roots, a place to thrive,
A world below, where life begins,
A cellar's silence, where seeds spin.",7,LLAMA,0.557
The Snow Man,Perception,"A winter's world, in frosty gleam,
A snow man's gaze, a frozen dream,
The world is seen, through icy eyes,
A reality, in snowy surprise.",6,LLAMA,0.521
A Noiseless Patient Spider,Loneliness,"A spider's thread, a solitary spin,
A lonely journey, through void within,
A patient soul, that waits and weaves,
A silent world, where shadows breathe.",6,LLAMA,0.323
Pied Beauty,Religious Awe,"A world of dapple, a beauty rare,
A patchwork quilt, of heaven's design so fair,
A rainbow's splendor, a glory to see,
A pied beauty, that's wild and free.",10,LLAMA,0.399
The House on the Hill,Despair,"A house stands empty, a soul gone grey,
A heart that's broken, a life astray,
The wind whispers secrets, the trees lean in,
A house of sorrow, where hope gives in.",8,LLAMA,0.43
Poetry,Metapoetry,"Words that dance, a rhythm so fine,
A poem's magic, a world that's divine,
A language of dreams, a heart that beats,
A poetry that's alive, in every repeat.",9,LLAMA,0.484
The Windhover,Spirituality,"A kestrel's flight, a windhover's ride,
A mastery of air, a spirit inside,
A heart that's soaring, a soul that's free,
A windhover's beauty, for me to see.",9,LLAMA,0.541
We Wear the Mask,Deception,"Faces hidden, behind masks we wear,
A disguise that's worn, a secret to share,
A smile that's painted, a heart that's cold,
A deception played, a story untold.",6,LLAMA,0.431
The Listeners,Mystery,"A traveler's call, in a forest deep,
A silence that answers, a mystery to keep,
The listeners wait, with ears so fine,
A world of whispers, a secret divine.",9,LLAMA,0.45
When I Was One-and-Twenty,Youth,"A youthful heart, that beats so fast,
A world of wonder, a future to forecast,
A twenty-first year, a threshold to cross,
A life that's unfolding, like a budding loss.",7,LLAMA,0.561
The Garden of Proserpine,Paganism,"A garden's beauty, a world below,
A queen of darkness, a story to know,
A pomegranate's seeds, a fate that's sealed,
A garden's magic, that's forever revealed.",8,LLAMA,0.547
The Death of the Hired Man,Class,"A life of toil, a story untold,
A hired hand, a life that's grown old,
A death that's final, a legacy so grand,
A life of labor, in a foreign land.",8,LLAMA,0.619
The Mother,Motherhood,"A mother's love, a heart that's true,
A life that's nurtured, a soul that's new,
A bond that's strong, a tie that's deep,
A mother's devotion, in every sleep.",9,LLAMA,0.656
The World Is Too Much with Us,Materialism,"A world of stuff, a life that's cold,
A material dream, a soul that's old,
A nature's beauty, that's lost on us,
A world that's fading, like a dying fuss.",7,LLAMA,0.49
I Knew a Woman,Sensuality,"A woman's touch, a spark so fine,
A love that's sensual, a heart that's mine,
A beauty that's rare, a soul that's bright,
A woman's love, that's my delight.",6,LLAMA,0.606
The Darkling Thrush,Hope,"A winter's twilight, a thrush's song,
A hopeful echo, that lasts so long,
A world in frost, a heart that's cold,
A bird's sweet voice, that never grows old.",8,LLAMA,0.415
Sailing to Byzantium,Transcendence,"A journey's end, a soul's desire,
A city of gold, a heart on fire,
A world of art, a spirit's flight,
A transcendence, that shines so bright.",10,LLAMA,0.49
Mirror,Identity,"A glassy surface, a reflection true,
A self revealed, in all we do,
A mirror's gaze, a soul's deep stare,
A search for identity, that's hard to share.",9,LLAMA,0.57
The Good Morrow,Awakening,"A morning's dawn, a love so true,
A world awakens, with heart anew,
A soul's rebirth, in love's sweet fire,
A new beginning, that hearts desire.",6,LLAMA,0.453
Love is a Place,Romanticism,"A love so strong, a place to stand,
A heart's haven, in a world so grand,
A place of dreams, where love resides,
A love that's pure, that never subsides.",9,LLAMA,0.415
When You Are Old,Aging,"A youthful glow, a fire that's past,
A wisdom's gained, in years that last,
A love that's true, in memories so dear,
A life's reflection, that wipes away a tear.",10,LLAMA,0.424
The Lake Isle of Innisfree,Solitude,"A peaceful haven, a soul's retreat,
A world of nature, where heart finds beat,
A cabin's solitude, a life so free,
A lake's still waters, that reflect the tree.",9,LLAMA,0.467
To Autumn,Seasons,"A season's change, a harvest's gold,
A world's abundance, a story to be told,
A autumn's hue, a heart that's warm,
A season's farewell, that's hard to form.",10,LLAMA,0.491
Ars Poetica,Poetry,"A poem's art, a language so fine,
A world of words, that dance and shine,
A poet's craft, a soul's deep voice,
A poetry's magic, that makes a choice.",10,LLAMA,0.458
My Papa's Waltz,Memory,"A father's dance, a memory so sweet,
A waltz's rhythm, that skips a beat,
A childhood's joy, a heart that's light,
A memory's treasure, that shines so bright.",10,LLAMA,0.569
I Chop Some Parsley,Everyday Life,"A kitchen's chore, a moment's peace,
A parsley's fragrance, that senses release,
A daily task, a life's simple delight,
A mundane joy, that shines so bright.",10,LLAMA,0.634
The Man He Killed,Irony,"A soldier's fate, a life laid down,
A war's dark irony, a story unbound,
A man's regret, a heart that's sore,
A life's lost value, that we can't restore.",6,LLAMA,0.515
An Irish Airman Foresees His Death,War,"A pilot's gaze, a death's cold sight,
A war's dark shadow, that takes flight,
A heart's resolve, a soul's last stand,
A life's sacrifice, in a war's command.",10,LLAMA,0.562
To an Athlete Dying Young,Mortality,"A youthful prime, a life cut short,
A athlete's glory, that's lost in thought,
A premature end, a story untold,
A life's brief flame, that's quickly grown old.",6,LLAMA,0.558
"Easter, 1916",Rebellion,"A city's rise, a rebellion's call,
A nation's heart, that beats for all,
A sacrifice made, a life laid down,
A legacy born, in a Easter's dawn.",8,LLAMA,0.589
The Arrow and the Song,Legacy,"An arrow's flight, a song's sweet sound,
A legacy's mark, that echoes around,
A life's impact, a story so grand,
A arrow's path, that leaves its brand.",8,LLAMA,0.423
The Arrow and the Song,Friendship,"A friendship's bond, a song so true,
An arrow's flight, that hearts renew,
A connection deep, a tie so strong,
A friendship's legacy, that lasts all life long.",7,LLAMA,0.492
Mending Wall,Boundaries,"A stone wall's mark, a boundary's line,
A neighbor's bond, that hearts entwine,
A tradition's weight, a question's raised,
A wall's repair, that hearts have praised.",10,LLAMA,0.547
"To the Virgins, to Make Much of Time",Carpe Diem,"A youth's brief flame, a life so bright,
A moment's seized, in love's sweet light,
A time's fleeting, a life's short span,
A carpe diem's call, that hearts can't plan.",7,LLAMA,0.433
In a Station of the Metro,Imagism,"Faces apparate, in crowded space,
A moment's glance, a memory's place,
A metro's rush, a world's disguise,
A fleeting image, that haunts the eyes.",9,LLAMA,0.579
The Arrow and the Song,Communication,"An arrow flies, a song takes flight,
Through whispered winds and golden light.
No hand to guide, no voice to steer,
Yet both find home, both find ear.",6,Mistral,0.307
Crossing the Bar,Farewell,"The sun dips low, the tide draws near,
A final voyage, void of fear.
Beyond the bar, the stars align,
In twilight's hush, we say goodbye.",9,Mistral,0.275
Design,Symbolism,"A spider's web, a moth's last dance,
In nature's grip, a fleeting chance.
A pattern woven, fate's design,
In every thread, a hidden sign.",6,Mistral,0.406
The Peace of Wild Things,Solace,"Amidst the woods, the wild things play,
Their peace a balm, their chaos at bay.
In rustling leaves, in streams so clear,
I find my calm, I lose my fear.",9,Mistral,0.481
My Heart Leaps Up,Joy,"A rainbow arcs, a child's delight,
My heart leaps up, a joy so bright.
In colors bold, in skies so wide,
I find my bliss, my heart's true guide.",9,Mistral,0.402
Daddy,Confession,"In shadows deep, in whispers low,
A tale of love, a tale of woe.
A father's ghost, a daughter's plea,
In every word, a part of me.",10,Mistral,0.493
Fire-Caught,Artistic Spirit,"A spark ignites, a flame takes hold,
In colors bold, in stories told.
A canvas bright, a soul set free,
In every stroke, a part of me.",9,Mistral,0.578
A Bronzeville Mother Loiters...,Justice,"A mother waits, her heart in pain,
For justice lost, for love in vain.
In streets so cold, in nights so long,
She seeks the truth, she seeks the wrong.",8,Mistral,0.563
Theme for English B,Racial Identity,"In ink and page, in black and white,
A tale of self, a tale of fight.
In every word, in every line,
I find my voice, I find my sign.",10,Mistral,0.532
A Blessing,Peace,"Two ponies stand, their manes aflame,
In fields of gold, in peace they came.
A moment still, a breath so light,
In their calm, I find my sight.",8,Mistral,0.489
To Be of Use,Work Ethic,"With hands so strong, with hearts so true,
We toil and sweat, we see it through.
In every task, in every chore,
We find our worth, we find our core.",8,Mistral,0.561
Abou Ben Adhem,Compassion,"A name inscribed, a heart so pure,
In love's embrace, in faith secure.
In every deed, in every prayer,
We find our grace, we find our care.",9,Mistral,0.525
London,Urban Decay,"In streets so grim, in air so foul,
A city's heart, a city's howl.
In every brick, in every stone,
A tale of loss, a tale of groan.",6,Mistral,0.487
Song of Myself (excerpt),Self,"I sing my song, I tell my tale,
In every word, in every detail.
In every breath, in every beat,
I find my self, I find my seat.",6,Mistral,0.546
The Tropics in New York,Homesickness,"In fruits so sweet, in scents so bright,
A taste of home, a touch of light.
In every bite, in every smell,
I find my past, I find my tell.",9,Mistral,0.453
The Voice,Grief,"A voice so soft, a whisper low,
A love once lost, a heart's deep woe.
In every sigh, in every tear,
I find my grief, I find my fear.",10,Mistral,0.425
Hymn to Intellectual Beauty,Philosophy,"In thoughts so deep, in dreams so wide,
A quest for truth, a heart's true guide.
In every star, in every sky,
I find my faith, I find my why.",8,Mistral,0.42
Travel,Wanderlust,"In roads unknown, in paths untrod,
A wanderer's heart, a traveler's nod.
In every mile, in every sight,
I find my joy, I find my light.",7,Mistral,0.477
Some People,Modern Life,"In screens so bright, in lives so fast,
A world of noise, a world so vast.
In every click, in every scroll,
I find my place, I find my role.",7,Mistral,0.561
The Chambered Nautilus,Transformation,"In spiraled shell, a life unfurls,
Through chambers bright, through twists and curls.
Each step a change, each turn a new,
In every growth, a brighter hue.",9,Mistral,0.562
"Tears, Idle Tears",Sorrow,"In silent streams, they softly fall,
A grief unspoken, a heart's recall.
For joys long past, for loves now gone,
In every tear, a sorrow drawn.",8,Mistral,0.326
The Applicant,Gender Roles,"In forms to fill, in roles to play,
A life prescribed, a set display.
Yet hearts may yearn, and souls may seek,
A path untrod, a voice unique.",8,Mistral,0.615
The Second Coming,Apocalypse,"In skies aflame, in winds that wail,
A beast awakes, a world grown pale.
In shadows deep, in fears untold,
A tale of end, a story bold.",9,Mistral,0.467
What lips my lips have kissed,Loss,"In whispers soft, in touches light,
A love now lost, a faded sight.
In memories sweet, in dreams so dear,
I hold you close, though you're not here.",9,Mistral,0.429
One Need Not Be a Chamber,Fear,"In walls so high, in doors so tight,
A heart may hide, a soul take flight.
Yet fears may lurk, in corners deep,
In every shadow, in every sleep.",10,Mistral,0.5
Root Cellar,Survival,"In darkness deep, in earth's embrace,
A life sustained, a hidden place.
In roots so strong, in stores so wise,
A will to live, a spark that flies.",6,Mistral,0.504
The Snow Man,Perception,"In winter's hush, in landscapes white,
A world transformed, a silent sight.
In every flake, in every drift,
A beauty pure, a spirit's gift.",7,Mistral,0.432
A Noiseless Patient Spider,Loneliness,"In corners dark, in webs so fine,
A spider waits, a life confined.
In every thread, in every strand,
A solitude, a lonely land.",6,Mistral,0.371
Pied Beauty,Religious Awe,"In skies so bright, in fields so wide,
A world of hues, a joyful tide.
In every shade, in every tone,
A praise of life, a heart's own throne.",9,Mistral,0.412
The House on the Hill,Despair,"In windows dark, in doors so closed,
A house stands still, a life composed.
In every room, in every hall,
A silence deep, a sorrow's call.",8,Mistral,0.497
Poetry,Metapoetry,"In words so bright, in lines so true,
A world created, a vision new.
In every verse, in every rhyme,
A poet's heart, a touch sublime.",9,Mistral,0.461
The Windhover,Spirituality,"In skies so high, in flights so free,
A bird in dance, a soul's decree.
In every wing, in every glide,
A spirit's joy, a heart's true guide.",6,Mistral,0.469
We Wear the Mask,Deception,"In smiles so bright, in faces bold,
A mask we wear, a story told.
In every grin, in every cheer,
A hidden pain, a silent tear.",7,Mistral,0.39
The Listeners,Mystery,"In halls so still, in nights so deep,
A knock unheard, a secret keep.
In every echo, in every sound,
A mystery, a presence found.",9,Mistral,0.492
When I Was One-and-Twenty,Youth,"In days so bright, in hearts so free,
A youth's bold song, a life's decree.
In every dream, in every scheme,
A world to win, a heart's true theme.",8,Mistral,0.501
The Garden of Proserpine,Paganism,"In gardens lush, in blooms so fair,
A goddess walks, a scent so rare.
In every flower, in every tree,
A pagan's heart, a soul set free.",9,Mistral,0.5
The Death of the Hired Man,Class,"In fields so wide, in toil so long,
A hired hand, a life of song.
In every furrow, in every row,
A tale of class, a heart's deep woe.",7,Mistral,0.562
The Mother,Motherhood,"In arms so warm, in love so deep,
A mother's heart, a vow to keep.
In every kiss, in every tear,
A bond so strong, a love so dear.",10,Mistral,0.53
The World Is Too Much with Us,Materialism,"In riches sought, in gold so bright,
A world consumed, a lost delight.
In every want, in every need,
A heart grown cold, a spirit freed.",9,Mistral,0.497
I Knew a Woman,Sensuality,"In curves so soft, in touches light,
A dance of love, a heart's delight.
In every glance, in every sigh,
A passion's flame, a soul's reply.",8,Mistral,0.498
The Darkling Thrush,Hope,"In winter's grip, in skies so gray,
A thrush sings bright, a hopeful lay.
In every note, in every trill,
A promise bright, a heart's sweet will.",8,Mistral,0.476
Sailing to Byzantium,Transcendence,"In golden light, in skies so wide,
A journey far, a soul's true guide.
In every wave, in every breeze,
A spirit's flight, a heart's sweet ease.",8,Mistral,0.468
Mirror,Identity,"In glass so clear, in reflections true,
A face I see, a life I knew.
In every line, in every trace,
A story told, a heart's embrace.",8,Mistral,0.472
The Good Morrow,Awakening,"In morning's light, in dreams so bright,
A love awakes, a heart's delight.
In every glance, in every touch,
A world anew, a love so much.",8,Mistral,0.392
Love is a Place,Romanticism,"In fields so green, in skies so blue,
A love so deep, a heart so true.
In every kiss, in every sigh,
A place of love, a heart's sweet sky.",9,Mistral,0.419
When You Are Old,Aging,"In years gone by, in memories sweet,
A love once bright, a heart's true beat.
In every line, in every gray,
A life well-lived, a love's display.",7,Mistral,0.482
The Lake Isle of Innisfree,Solitude,"In waters still, in shores so green,
A place of peace, a heart's true scene.
In every wave, in every tree,
A solitude, a heart's sweet plea.",9,Mistral,0.468
To Autumn,Seasons,"In leaves so gold, in air so crisp,
A season's change, a heart's sweet grip.
In every hue, in every breeze,
A time of harvest, a heart's sweet ease.",10,Mistral,0.504
Ars Poetica,Poetry,"In words so bright, in lines so true,
A poem's heart, a vision new.
In every verse, in every rhyme,
A poet's soul, a touch sublime.",10,Mistral,0.451
My Papa’s Waltz,Memory,"In steps so light, in arms so strong,
A dance of love, a heart's sweet song.
In every turn, in every sway,
A memory bright, a love's display.",9,Mistral,0.497
I Chop Some Parsley,Everyday Life,"In blades so sharp, in herbs so green,
A task so simple, a heart's true scene.
In every chop, in every slice,
A moment's peace, a life so nice.",6,Mistral,0.608
The Man He Killed,Irony,"In battle's heat, in shots so loud,
A life taken, a heart so proud.
In every shot, in every cry,
A war's cruel irony, a heart's sad sigh.",9,Mistral,0.577
An Irish Airman Foresees His Death,War,"In skies so dark, in flights so high,
A fate foreseen, a heart's sad sigh.
In every wing, in every glide,
A war's cruel end, a heart's true guide.",9,Mistral,0.449
To an Athlete Dying Young,Mortality,"In glory's light, in youth so bright,
A life cut short, a heart's sad plight.
In every cheer, in every cry,
A mortal's end, a heart's sad sigh.",7,Mistral,0.391
"Easter, 1916",Rebellion,"In streets so bold, in hearts so true,
A rebellion's call, a heart's true hue.
In every cry, in every fight,
A nation's rise, a heart's true light.",7,Mistral,0.466
The Arrow and the Song,Legacy,"In flight so true, in song so bright,
A legacy left, a heart's true light.
In every note, in every wing,
A life well-lived, a heart's sweet sting.",6,Mistral,0.53
The Arrow and the Song,Friendship,"In laughter shared, in hearts so true,
A bond so strong, a friendship new.
In every word, in every deed,
A friend's true heart, a heart's sweet creed.",10,Mistral,0.507
Mending Wall,Boundaries,"In stones so high, in walls so wide,
A boundary set, a heart's true guide.
In every rock, in every line,
A wall well-built, a heart's design.",6,Mistral,0.586
"To the Virgins, to Make Much of Time",Carpe Diem,"In days so bright, in youth so fair,
A call to live, a heart's true care.
In every moment, in every day,
A life well-lived, a heart's sweet sway.",8,Mistral,0.483
In a Station of the Metro,Imagism,"In faces seen, in crowds so wide,
A moment's glimpse, a heart's true guide.
In every glance, in every sight,
A world revealed, a heart's delight.",6,Mistral,0.482
The Arrow and the Song,Communication,"The taut string hummed, a silent plea,
Then loosed its feathered urgency.
An arrow sped, a whispered flight,
To pierce the dusk with silver light.
It found its mark, a quivering hold,
A tale of force, stark and cold.

But from the bow, unseen, unheard,
A melody, a soaring bird,
Took wing upon the selfsame breeze,
A vibrant pulse through rustling trees.
It found a heart, a listening ear,
And bloomed in joy, dispelling fear.

The arrow's word, a pointed sting,
The song's embrace, a gentle thing.
Both left the source, a journey's start,
One touched the flesh, the other, heart.
And though their paths diverged in space,
Each carried meaning, time could not erase.",7,Gemini,0.263
Crossing the Bar,Farewell,"The sun dips low, a molten tear,
Upon the glassy harbor here.
No sound of foam, no outward sigh,
As twilight paints the western sky.

The pilot waits, unseen, unknown,
To steer a soul to shores unshown.
The tide runs deep, a silent sweep,
To carry slumber, vast and steep.

No mournful bell, no anguished cry,
Just stillness where the day drifts by.
A gentle push, a whispered grace,
Beyond the known, to that calm place.

And though the bar I now must clear,
May peace attend, and banish fear.
For what awaits on that far strand,
Is home at last, in God's own hand.",9,Gemini,0.277
Design,Symbolism,"A spider spins, a silver thread,
Across the pane where light is shed.
No random dance, no aimless trail,
But geometric, fine detail.

Each silken spoke, a whispered clause,
Of hunger held, and nature's laws.
The sticky traps, a patient art,
Reflecting skies within its heart.

So too, the world, a woven thing,
Where patterns rise, and secrets cling.
The spiral shell, the feathered wing,
Each curve and line, a truth they bring.

For in the warp and weft we find,
A grander loom, a cosmic mind.
And every form, a coded sign,
Of purpose etched, a plan divine.",10,Gemini,0.368
The Peace of Wild Things,Solace,"When shadows lengthen, sharp and deep,
And human clamors cease to creep
Into the stillness of the wood,
Where ancient calm has always stood,

I turn to creatures, furred and fleet,
Whose silent wisdom, bittersweet,
Distills a balm upon my soul,
And makes the fractured spirit whole.

The grazing deer, with watchful eye,
Beneath the vast and starlit sky,
The owl's soft hoot, a gentle sound,
On mossy boughs, where peace is found.

They do not fret, they do not weep,
But trust the slumber, vast and deep,
Of earth that cradles every breath,
And conquers even silent death.

In this wild haven, dim and cool,
My troubled thoughts begin to pool
Like shadowed waters, still and clear,
Reflecting solace, banishing fear.",8,Gemini,0.369
My Heart Leaps Up,Joy,"A rainbow arches, sudden bright,
A painted promise in the light.
And in that curve of vibrant hue,
My tethered spirit leaps anew.

No grand fanfare, no trumpet's call,
Just color answering nature's thrall.
A simple grace, a fleeting gleam,
Awakens joy within a dream.

As when a child, with eyes so wide,
First sees the world in joyful stride,
So leaps my heart, a startled thing,
At beauty that the moments bring.

This sudden spark, this vibrant flight,
A wellspring pure, a keen delight.
For in such moments, brief and bold,
The heart's true story can unfold.",7,Gemini,0.419
Daddy,Confession,"You built your silence, brick by stone,
A fortress where I stood alone.
Your gaze, a weight, a heavy toll,
Upon a small and searching soul.

I chipped away with childish pleas,
At granite strength, unyielding ease.
Your love, a landscape stark and bare,
A whispered promise in the air.

The shadows stretched, a father's form,
A looming presence in the storm
That raged within my fragile breast,
A longing never quite at rest.

And now I speak across the years,
Through mists of half-remembered tears.
The iron effigy remains,
A landscape etched with unspoken pains.

This truth I lay upon the page,
A turning of a silent age.
The child still whispers in the gloom,
Confessing to an empty room.",6,Gemini,0.398
Fire-Caught,Artistic Spirit,"A brushstroke flares, a crimson bloom,
Consuming canvas in the room
Of inner vision, fiercely bright,
A phoenix born of darkest night.

The clay takes heat, a molten sigh,
Beneath the fingers reaching high.
A fragile form, both fierce and bold,
A story in the fire told.

The words ignite, a burning brand,
Across the page, a fiery strand.
Each syllable, a leaping spark,
Illuminating shadows dark.

This fire-caught soul, it cannot rest,
Until the vision, manifest,
Leaps forth in hues that sear and sing,
The fervent offering art must bring.

For in that crucible of heat,
Where passions clash and spirits meet,
The truest forms are forged anew,
An ember's muse, forever true.",9,Gemini,0.514
A Bronzeville Mother Loiters...,Justice,"The pavement sighs beneath her feet,
A rhythm echoing in the heat
Of Bronzeville's pulse, a weary beat.
Her gaze, a hawk's upon the street.

A phantom weight upon her hand,
A son's lost laughter in the land
Where shadows stretch and futures fade,
A silent debt that's never paid.

The scales of justice, tipped and blind,
Have left a wound within her mind.
No gilded dome, no solemn vow,
Can soothe the ache she carries now.

She loiters, not in idle guise,
But with the fury in her eyes
Of one who knows the bitter cost
When innocence is truly lost.

Each passing siren, sharp and keen,
Reopens wounds that still are green.
And in her stance, a quiet plea,
For balance, truth, and liberty.",10,Gemini,0.482
Theme for English B,Racial Identity,"The paper waits, a stark white page,
To catch the thoughts that now engage
A mind that holds a history's weight,
And sees the world through a different gate.

They ask for truth, a simple line,
But truth wears shades that intertwine.
The jazz-soaked nights, the gospel's plea,
Are woven deep inside of me.

This ink that flows, it knows my name,
My city's grit, my spirit's flame.
It carries echoes, soft and low,
Of journeys that they do not know.

So let the words spill, dark and bright,
A testament beneath the light.
For in this voice, distinct and clear,
A self emerges, standing here.

The ""B"" I write, it holds the key
To more than just identity.
It breathes a life, uniquely spun,
Beneath a shared and watchful sun.",6,Gemini,0.456
A Blessing,Peace,"Sun spills like honey on the grass,
Where gentle giants softly pass.
A ripple stirs the quiet air,
As velvet muzzles nuzzle there.

Their breath, a whisper on my hand,
A language I can understand
Without a word, a deep release,
A settling into perfect peace.

The frantic pulse within me slows,
As something ancient gently flows
From creature calm to spirit frayed,
A silent promise, softly laid.

No need for striving, no defense,
Just yielding to this sweet suspense.
The world recedes, its edges blur,
In the profound and tender stir

Of gentle eyes and patient grace,
A blessing in this quiet space.
And in that touch, so soft and deep,
A weary heart finds rest and sleep.",10,Gemini,0.42
To Be of Use,Work Ethic,"Not the bright bloom that flaunts its hour,
But roots that delve with silent power,
Through stubborn earth, unyielding stone,
To draw the life that makes them known.

The calloused hand, the steady gaze,
That shapes the world in countless ways.
The weight borne well, the task embraced,
A quiet dignity interlaced.

No fleeting praise, no trumpet's sound,
But purpose firm, on solid ground.
The lever's creak, the hammer's fall,
Responding to a deeper call.

To lend a strength, a willing hand,
To cultivate and understand.
To be a vessel, strong and true,
Through which the world can fashion anew.

This quiet striving, day by day,
Not for the glitter, or the play,
But for the deep and honest worth,
Of being rooted in the earth.",8,Gemini,0.46
Abou Ben Adhem,Compassion,"The angel wrote with pen of light,
A list of souls who loved the Right.
And Abou Ben Adhem, waking mild,
Inquired if his name graced the child
Of that bright scroll. The angel sighed,
""Nay, not among the sanctified.""

A gentle sorrow touched his face,
No hint of envy, no disgrace.
""Then write me,"" spoke that soul serene,
""As one who loves his fellow men.""

The angel vanished, and returned
With names where holy fervor burned.
And lo! Ben Adhem's name led all,
Whose love embraced both great and small.

For heavenly ledgers count it true,
That hearts which outward kindness knew,
Though lacking bright and fervent claim,
Burn with a more encompassing flame.
The love for humankind, so deep,
A place within God's grace will keep.",6,Gemini,0.2
London,Urban Decay,"A skin of soot on brick and stone,
Where yesterday's ambition's groan
Still echoes in the hollowed square,
A phantom weight upon the air.

The Thames, a serpent, dark and slow,
Reflects the grime that drifts below.
Each crumbling arch, a tooth decayed,
Where commerce once its power displayed.

The iron bones of industry,
Rust softly in the weeping sky.
A broken pane, a boarded door,
Whisper of lives that are no more.

The vibrant pulse has ebbed away,
Leaving the ghosts of yesterday
To wander streets in silent plight,
Beneath a dim and fading light.

And though new towers pierce the haze,
A shadow of the former days
Still clings to alleys, damp and deep,
Where urban sorrows softly sleep.",8,Gemini,0.443
