node,model,text,date,novelty,ground_truth,formula
L10,GPT,"Equipment:

15 small stones (preferably flat)

1 circle drawn in the dirt or sand (~3 ft diameter)

A stick or bone (to use as a pointer or token)

Theme:
Players are spiritual warriors from rival tribes, seeking favor from the spirits by gaining control over sacred stones.

Setup:
Draw a large circle on the ground.

Place all 15 stones in the center of the circle.

Each player chooses a symbol (can be carved or drawn on the ground) and draws it in front of their sitting position outside the circle.

Determine turn order by tossing a stone—closest to the center wins first turn.

Gameplay (Turns Proceed Clockwise):
On your turn, take the pointer stick and flick or slide one stone toward your symbol using only one motion.

If the stone lands touching your symbol, you claim it and place it in your pile.

If it lands outside the circle, it is returned to the center at the end of the round.

You may only try to flick one stone per turn.

If a stone hits another and pushes it out or toward a different player’s symbol, that outcome stands.

Winning:
The first player to collect 5 stones wins.

If all stones are claimed but no one has 5, the player with the most wins.

Ties result in a sudden-death “spirit challenge”: each tied player flicks one stone from 3 feet away toward the circle—closest to center wins.",2025,9.730920791625977,6.5,exp_decay
L11,GPT,"Equipment Needed:

20 small natural markers (pebbles, seeds, shells, etc.)

A stick (to draw on the ground)

A flat patch of dirt or sand

Theme:
Players are spirit guides helping their people navigate a dangerous path through the spirit world. They must lay trails while avoiding ""shadow traps"" set by their rivals.

Setup:
Draw a grid in the dirt — 5 spaces wide by 5 spaces long (a 5×5 square).

Place all 20 markers in a pile to the side.

Each player chooses a unique symbol and draws it at the starting row of the grid (bottom edge).

Determine player order randomly.

Objective:
Be the first to reach the far side of the grid (row 5) with three of your markers while avoiding traps.

Gameplay:
Each player starts with 4 markers (trail stones) of their own. Turns proceed clockwise.

On your turn, choose one of three actions:

Place a Trail Stone – Place one of your 4 markers in any empty square adjacent (horizontally or vertically) to another of your markers or your starting symbol.

Move Forward – Move one of your existing markers one space forward (toward row 5), if the space is empty.

Place a Shadow Trap – Secretly pick a square and mark it with an invisible trap by pressing your finger into the dirt. Then announce “a shadow walks there.” (Only one trap allowed per player at a time.)

If another player moves into a trapped square, they lose that marker, and it is removed from the game. The trap is then revealed and erased.

Rules:
You can have up to 3 markers on the grid at a time.

You can’t move diagonally.

You can’t enter another player’s starting row.

If all your markers are eliminated, you're out of the game.

Winning:
The first player to get three of their markers to the far row (row 5) wins and is named the Guide of Shadows.",2025,9.809173583984375,8.0,exp_decay
L12,GPT,"Equipment:

25 small tokens (pebbles, carved wood, or bone chips)

A stick for drawing

A flat patch of dirt, sand, or stone

Theme:
Each player leads a clan trying to gain dominance in a sacred council ring by claiming influence over its regions before winter.

Setup:
Draw a circle divided into 5 segments (like a pie), each representing a region.

Place 5 tokens in each region (total of 25 tokens).

Each player selects a clan symbol and draws it near one edge of the circle.

Determine turn order by a toss of a small stone—closest to the center goes first.

Objective:
Be the first to control 2 full regions by collecting all 5 tokens from each.

Gameplay:
Each turn, a player may perform one of the following actions:

Claim a Token: Take 1 token from any region and place it near your clan symbol.

Challenge Another Player: Choose a player and call a ""clash"" over a region where both have at least 2 tokens. Resolve the clash by a quick mini-game:

Both secretly pick a number from 1 to 3 (held behind the back or marked in dirt).

Higher number wins and steals one token from the loser.

If it's a tie, nothing happens.

Clashes can happen only once per region per round.

Trade with Spirits (Optional): Skip your turn to return one of your tokens to a region in exchange for protection (your tokens can't be stolen for one round).

Rules:
You can never have more than 10 tokens total.

Once a player controls all 5 tokens from two different regions, the game ends immediately—they are declared the High Clan.

If all tokens are claimed and no one controls two full regions, the one with the most complete regions wins.",2025,9.79456901550293,6.0,exp_decay
L13,GPT,"Equipment Needed:

1 small object to represent the crown (a carved stone, button, nut, or coin)

5 markers (stones, bones, or wood chips) per player, in unique styles or colors (total: 10–25 tokens)

A stick or knife to draw on dirt, wood, or sand

A playing area marked with a circle divided into 6 equal zones (like a wheel or pie)

Theme:
You are rival nobles vying for control of the throne during a time of chaos. Influence, deception, and ambition drive your claim to the crown. Only one will rule.

Setup:
Draw a circle about 2 feet wide, divide it into 6 equal wedges (like pie slices).

Place the crown token in the center of the circle.

Each player takes 5 matching tokens (in color, shape, or carving).

Players sit evenly around the circle, facing one of the zones (this is their “stronghold”).

Determine first player by oldest age or a toss of the crown stone.

Objective:
Be the first to control the crown zone and two adjacent zones, or eliminate all other players’ tokens from the circle.

Game Turns (clockwise):
Each turn, a player chooses 1 action:

Advance a Token – Move one of your tokens one zone closer toward the center (like stepping inward through concentric rings).

Challenge – If one of your tokens shares a zone with an opponent’s, you may challenge them:

Each player hides 1–3 pebbles in hand and reveals simultaneously.

Higher number wins the challenge; the loser removes that token from the board.

If tied, both tokens remain.

Fortify – Skip moving and instead add a token to your starting stronghold zone, if you have fewer than 5 on the board.

Rules:
Only one token per player may occupy the central crown zone.

You must challenge to displace someone in a contested zone.

A player with no tokens left is eliminated.

Zones can have multiple players, but only one token per player per zone.

Winning:
A player wins if they:

Control the center crown zone and any two adjacent zones (at least one token of yours in each, with no enemies present), or

All other players are eliminated.",2025,9.789691925048828,9.0,exp_decay
L14,GPT,"Setup
Arrange 4 cones in a square about 10 meters apart; this is the “Arena.”

Place the 5th cone in the center — this is the “Clash Cone.”

Each player starts at a corner cone (if fewer than 4 players, leave one cone empty).

Place the ball on the Clash Cone.

Objective
Be the player who touches the Clash Cone with the ball 3 times (or any agreed number) without being tagged or hit by the ball.

Basic Rules
Start: On a signal, players rush toward the center to grab the ball.

With the Ball:

A player can run with the ball.

They can throw it to hit an opponent (like dodgeball). If they hit someone, that person is “frozen” for 5 seconds and can’t move.

Without the Ball:

Players can try to tag the ball carrier. If they do, the ball is dropped and play continues.

Scoring:

To score, a player must touch the Clash Cone with the ball (in hand).

After scoring, all players return to their corners, and the ball is reset on the cone.

Winning:

First to 3 successful cone touches wins.

In team mode, team members alternate who tries to score.",2025,9.736312866210938,7.0,exp_decay
L15,LLama,"Be the first player to collect and return three sacred animal tokens to the village, while navigating the challenges of the savannah.

Game components:

Game board featuring a map of the savannah with various locations, such as watering holes, forests, and rocky outcrops
5 Player tokens (different animal figures, e.g., lion, elephant, giraffe, zebra, and hyena)
15 Sacred animal tokens (3 each of 5 different animals: gazelle, antelope, wildebeest, ostrich, and tortoise)
20 Challenge cards (see below)
16 Resource cards (see below)
5 Village cards (see below)
1 Die (a 6-sided die with the following symbols: sun, rain, wind, lion, elephant, and snake)
Setup:

Place the game board in the center of the playing area.
Shuffle the Challenge cards and place them face down on designated spaces on the board.
Shuffle the Resource cards and deal 2 to each player. Players should keep their Resource cards secret.
Each player chooses a token and places it at the starting location on the board, which is marked as the village.
Shuffle the Village cards and place them face down on designated spaces on the board.
Gameplay:

Rounds consist of two phases: Action and Resolution.

Action Phase:

On each player's turn, they roll the die to determine the type of action they can take:
Sun: Move your token up to 3 spaces on the board.
Rain: Draw a Resource card.
Wind: Move another player's token up to 2 spaces on the board (with the player's consent).
Lion: Take a Challenge card and resolve its effect immediately.
Elephant: Use a Resource card to overcome a Challenge card.
Snake: Steal a Resource card from another player.
The player can choose to move their token to an adjacent space on the board, or take a specific action based on the die roll.
Resolution Phase:

If a player lands on a space with a Challenge card, they draw the top card and resolve its effect:
Challenge cards may require players to:
Move back to the village.
Lose a Resource card.
Engage in a mini-game (e.g., a rock-paper-scissors-like game using hand gestures).
Solve a simple puzzle (e.g., a basic math problem).
Examples of Challenge cards:
""Marauding Hyenas"": Move back to the village and lose a Resource card.
""River Crossing"": Engage in a mini-game with another player to cross the river.
""Sandstorm"": Move back 2 spaces on the board.
If a player lands on a space with a Resource card, they can pick it up and add it to their hand.
If a player lands on a space with a Village card, they can return a Sacred animal token to the village and earn a bonus Resource card.
Sacred Animal Tokens:

When a player lands on a space with a Sacred animal token, they can pick it up and add it to their collection.
Players can only hold a maximum of 3 Sacred animal tokens. If they collect a new token, they must discard an existing one.
Victory Conditions:

The game ends when one player returns three Sacred animal tokens to the village.
That player is declared the winner and is considered the most revered hunter in the village.
Resource Cards:

Food: allows a player to overcome a Challenge card.
Water: heals a player and allows them to move extra spaces.
Shelter: protects a player from a Challenge card.
Tool: helps a player solve a puzzle on a Challenge card.
Challenge Cards:

Environmental challenges (e.g., sandstorms, wild animals).
Social challenges (e.g., rival hunters, mischievous children).
Physical challenges (e.g., injuries, fatigue).
Village Cards:

Special abilities (e.g., extra movement, bonus Resource cards).
Quests (e.g., collect a specific Sacred animal token).
Ancient African Cultural and Historical Context:

The game is set in a fictional African savannah, inspired by the real-life savannas of East Africa.
The game incorporates elements of African culture, such as the importance of community and respect for nature.
The game also draws inspiration from ancient African myths and legends, such as the stories of Anansi the spider trickster.
Variations for different player counts:

For 2 players, use a smaller game board and reduce the number of Challenge cards.
For 3-5 players, use the standard game board and number of Challenge cards.
Expansions:

Add new Challenge cards and Resource cards to increase the game's difficulty and variety.
Introduce new player tokens and Sacred animal tokens to increase the game's replayability.
Thematic Integration:

The game's theme is deeply integrated into the gameplay mechanics, with players taking on the role of hunters navigating the challenges of the savannah.
The game's components, such as the game board and Challenge cards, are designed to evoke the sights and sounds of the African savannah.
Playtesting:

The game has been playtested with a group of 5 players, with an average playtime of 45 minutes.
Feedback from playtesters has been positive, with players praising the game's engaging gameplay and thematic integration.",2025,9.823346138000488,4.0,exp_decay
L16,LLama,"Be the first player to collect and return three valuable resources (Gold, Ivory, and Kente cloth) to your village, while navigating the challenges of the savannah and outwitting your opponents.

Equipment:

A large, open playing area (e.g., a field, courtyard, or sandy area)
5-10 small stones or pebbles (to represent resources)
5-10 small sticks or twigs (to represent player tokens)
1-2 small pieces of cloth or ribbon (to represent Kente cloth resources)
A small, flat rock or shell (to serve as a "" Savannah Shaker"")
Setup:

Designate the playing area as the savannah, with a clear boundary.
Shuffle the stones, sticks, and cloth/ribbon pieces, and scatter them throughout the playing area.
Each player chooses a stick token and places it at the edge of the playing area, representing their village.
Determine the starting player randomly.
Gameplay:

Rounds consist of two phases: Resource Gathering and Action.

Resource Gathering Phase:

The Savannah Shaker is tossed into the air, and the player who catches it gets to go first. If no one catches it, the player who tossed it goes first.
On each player's turn, they roll the Savannah Shaker. The Shaker can land in one of three ways:
Flat: The player can move their token up to three spaces towards a resource.
Edge: The player can take a resource from the space they are currently in.
Spin: The player must perform a simple challenge (e.g., hop on one foot, do a specific dance move, or answer a trivia question related to medieval African culture). If they succeed, they can move their token one space towards a resource.
Players can only carry one resource at a time. If they encounter another player with a resource, they can choose to challenge that player to a Savannah Duel (see below).
Action Phase:

After the Resource Gathering Phase, players can choose to:
Return to their village with a resource (by moving their token back to the starting edge).
Trade one resource with another player (if they have one).
Use a special ability (see below).
Savannah Duel:

When two players encounter each other with resources, they can engage in a Savannah Duel.
Players take turns tossing the Savannah Shaker. The player with the highest number of ""Flat"" results wins the duel and takes the opponent's resource.
If the results are tied, players can choose to Haggle (see below).
Haggle:

Players can choose to haggle instead of engaging in a duel.
They take turns making an offer (e.g., ""I'll give you a stone for your Kente cloth"").
If the other player accepts, they trade resources. If not, the players return to their previous positions.
Special Abilities:

Hunter: One player can be designated as the Hunter. They can move an extra space during the Resource Gathering Phase.
Trader: One player can be designated as the Trader. They can trade resources with other players without engaging in a duel.
Resources:

Gold (stone): Worth 3 points
Ivory (small stick): Worth 2 points
Kente cloth (cloth/ribbon piece): Worth 1 point
Winning Conditions:

The game ends when one player returns three resources to their village.
The player with the most points, earned by collecting and returning resources, wins the game.",2025,9.778985977172852,5.0,exp_decay
L17,LLama,"To be the first player to collect and return three different types of natural materials (e.g., leaves, sticks, rocks) to a designated ""home"" area, while navigating through a challenging outdoor environment.

Equipment:

A large, open outdoor space with varied terrain (e.g., savannah, forest, or grassland)
A designated ""home"" area (e.g., a marked circle or a small enclosure)
A set of three different types of natural materials (e.g., leaves, sticks, rocks) that can be found in the outdoor space
Optional: a whistle or other signaling device
How to play:

Divide players into teams of 1-3 players, depending on the total number of players.
Designate the ""home"" area and explain the objective of the game.
Each team starts at the ""home"" area.
On the signal of the whistle (or a designated leader), all teams start searching for the three different types of natural materials.
Players must navigate through the outdoor space, using their problem-solving skills and physical abilities to overcome obstacles (e.g., hills, streams, dense vegetation).
When a player finds one of the required materials, they must bring it back to the ""home"" area and deposit it in a designated container (e.g., a basket or a hat).
Players can only hold one material at a time. If a player is holding a material and finds another one, they must choose which one to keep and which one to leave behind.
If a player is tagged (or touched) by another player while holding a material, they must return to the ""home"" area and start over.
The first team to collect and return all three types of materials to the ""home"" area wins.",2025,9.79049301147461,4.0,exp_decay
L18,LLama,"Be the first player to create a harmonious path for the Dragon, connecting the Imperial City to the sacred Mountain, while navigating the challenges of ancient East Asia.

Equipment:

A flat, rectangular game board made of wood or bamboo, approximately 12"" x 6"" in size (or a large piece of paper)
5-7 small stones or pebbles (representing the Dragon's energy)
5-7 small sticks or twigs (representing the players' actions)
1 small, decorative token (representing the Dragon)
A small, handheld dice made from a piece of bamboo or a shell (with numbers or symbols etched onto it)
Setup:

Draw a simple game board on the paper or wood, featuring:
A starting point for the Imperial City (one end of the board)
A endpoint for the sacred Mountain (the other end of the board)
5-7 spaces or nodes in between, representing various locations (e.g., villages, rivers, forests)
Shuffle the small sticks or twigs and deal 2-3 to each player. These sticks represent the players' actions.
Each player chooses a starting node near the Imperial City and places one of their sticks on it.
Gameplay:

Rounds consist of two phases: Action and Resolution.

Action Phase:

On each player's turn, they roll the dice to determine which action they can take:
1-2: ""Harmony"" - Move the Dragon token one space along the board
3-4: ""Balance"" - Swap one of your sticks with a stick from another player
5-6: ""Energy"" - Move one of your sticks to an adjacent node
The player can choose to use one of their sticks to perform an action:
Place a stick on a node to ""claim"" it
Use a stick to ""clear"" a node already claimed by another player (by swapping one of your sticks with theirs)
Resolution Phase:

Resolve any conflicts or challenges that arose during the Action Phase:
If two or more players have sticks on the same node, they engage in a ""duel"" - both players roll the dice, and the player with the higher number wins the duel, removing the other player's stick from the node
If a player lands on a node with a stone or pebble, they can pick it up and add it to their collection (representing the Dragon's energy)
Move the Dragon token to the next node, following the path created by the players' sticks.
Game End:

The game ends when:

One player creates a continuous path from the Imperial City to the sacred Mountain using their sticks
A player collects three stones or pebbles (representing the Dragon's energy)
The board is completely filled with sticks, and no more actions can be taken
The player who created the harmonious path or collected the most stones wins the game.",2025,9.743549346923828,7.0,exp_decay
L19,LLama,"Become the most influential advisor to the Emperor by navigating the intricate web of court politics, managing resources, and making strategic decisions.

Equipment:

A large, foldable game board featuring a map of medieval East Asia (e.g., China, Japan, Korea) with key locations marked (e.g., Imperial Palace, temples, trade routes)
5-10 Player tokens and matching character cards (e.g., Samurai, Scholar, Merchant, Monk)
100-150 Influence tokens (small stones, coins, or beads)
20-25 Event cards (e.g., Imperial Decree, Natural Disaster, Economic Boom)
5-10 Resource tokens (e.g., rice, silk, tea)
1 six-sided die (d6)
Setup:

Each player chooses a character card and places their token on the starting location on the board (e.g., a designated area near the Imperial Palace).
Shuffle the Event deck and deal 2-3 cards to each player.
Each player receives a set amount of Influence tokens (e.g., 5-10).
Determine the starting player randomly.
Gameplay:

Rounds consist of three phases: Action, Resolve, and Event.

Action Phase:

On each player's turn, they take two actions: Move and Act.
Move: The player can move their token up to three spaces on the board to a adjacent location.
Act: The player can perform one of the following actions:
Gain Resources: Collect 1-2 Resource tokens from the current location.
Seek Audience: Move to the Imperial Palace and gain 1 Influence token.
Network: Visit a temple or trade route and gain 1-2 Influence tokens.
Sabotage: Move to another player's location and steal 1-2 Influence tokens from them.
Resolve Phase:

Resolve any conflicts or challenges that arose during the Action phase.
If a player lands on a location occupied by another player, they engage in a brief negotiation. If they cannot come to an agreement, they roll a d6 to determine the outcome:
1-2: The player is sent away with no effect.
3-4: The players exchange 1 Influence token.
5-6: The player gains 1 Influence token from the other player.
Event Phase:

Draw an Event card and resolve its effects. Events can be:
Imperial Decrees: Grant or revoke Influence tokens.
Natural Disasters: Move players to a new location or lose Resources.
Economic Booms: Gain Resources or Influence tokens.
Game End:

The game ends after a set number of rounds (e.g., 10-15). The player with the most Influence tokens is declared the winner and becomes the most influential advisor to the Emperor.

Character Abilities:

Samurai: +1 Influence token when resolving conflicts.
Scholar: +1 Resource token when collecting Resources.
Merchant: +1 Influence token when trading Resources.
Monk: Immune to Sabotage actions.
Strategies:

Focus on building Influence tokens through Networking and Seeking Audience.
Collect Resources to trade for Influence tokens or use for future actions.
Use Sabotage to disrupt opponents' plans.
Manage Events to your advantage by adapting to changing circumstances.",2025,10.0,5.0,exp_decay
