Title,Category,Poem
When I Was One-and-Twenty,Youth,"A youthful heart, that beats so fast,
A world of wonder, a future to forecast,
A twenty-first year, a threshold to cross,
A life that's unfolding, like a budding loss."
The Garden of Proserpine,Paganism,"A garden's beauty, a world below,
A queen of darkness, a story to know,
A pomegranate's seeds, a fate that's sealed,
A garden's magic, that's forever revealed."
The Death of the Hired Man,Class,"A life of toil, a story untold,
A hired hand, a life that's grown old,
A death that's final, a legacy so grand,
A life of labor, in a foreign land."
The Mother,Motherhood,"A mother's love, a heart that's true,
A life that's nurtured, a soul that's new,
A bond that's strong, a tie that's deep,
A mother's devotion, in every sleep."
The World Is Too Much with Us,Materialism,"A world of stuff, a life that's cold,
A material dream, a soul that's old,
A nature's beauty, that's lost on us,
A world that's fading, like a dying fuss."
I Knew a Woman,Sensuality,"A woman's touch, a spark so fine,
A love that's sensual, a heart that's mine,
A beauty that's rare, a soul that's bright,
A woman's love, that's my delight."
The Darkling Thrush,Hope,"A winter's twilight, a thrush's song,
A hopeful echo, that lasts so long,
A world in frost, a heart that's cold,
A bird's sweet voice, that never grows old."
Sailing to Byzantium,Transcendence,"A journey's end, a soul's desire,
A city of gold, a heart on fire,
A world of art, a spirit's flight,
A transcendence, that shines so bright."
Mirror,Identity,"A glassy surface, a reflection true,
A self revealed, in all we do,
A mirror's gaze, a soul's deep stare,
A search for identity, that's hard to share."
The Good Morrow,Awakening,"A morning's dawn, a love so true,
A world awakens, with heart anew,
A soul's rebirth, in love's sweet fire,
A new beginning, that hearts desire."
Love is a Place,Romanticism,"A love so strong, a place to stand,
A heart's haven, in a world so grand,
A place of dreams, where love resides,
A love that's pure, that never subsides."
When You Are Old,Aging,"A youthful glow, a fire that's past,
A wisdom's gained, in years that last,
A love that's true, in memories so dear,
A life's reflection, that wipes away a tear."
The Lake Isle of Innisfree,Solitude,"A peaceful haven, a soul's retreat,
A world of nature, where heart finds beat,
A cabin's solitude, a life so free,
A lake's still waters, that reflect the tree."
To Autumn,Seasons,"A season's change, a harvest's gold,
A world's abundance, a story to be told,
A autumn's hue, a heart that's warm,
A season's farewell, that's hard to form."
Ars Poetica,Poetry,"A poem's art, a language so fine,
A world of words, that dance and shine,
A poet's craft, a soul's deep voice,
A poetry's magic, that makes a choice."
My Papa's Waltz,Memory,"A father's dance, a memory so sweet,
A waltz's rhythm, that skips a beat,
A childhood's joy, a heart that's light,
A memory's treasure, that shines so bright."
I Chop Some Parsley,Everyday Life,"A kitchen's chore, a moment's peace,
A parsley's fragrance, that senses release,
A daily task, a life's simple delight,
A mundane joy, that shines so bright."
The Man He Killed,Irony,"A soldier's fate, a life laid down,
A war's dark irony, a story unbound,
A man's regret, a heart that's sore,
A life's lost value, that we can't restore."
An Irish Airman Foresees His Death,War,"A pilot's gaze, a death's cold sight,
A war's dark shadow, that takes flight,
A heart's resolve, a soul's last stand,
A life's sacrifice, in a war's command."
To an Athlete Dying Young,Mortality,"A youthful prime, a life cut short,
A athlete's glory, that's lost in thought,
A premature end, a story untold,
A life's brief flame, that's quickly grown old."
"Easter, 1916",Rebellion,"A city's rise, a rebellion's call,
A nation's heart, that beats for all,
A sacrifice made, a life laid down,
A legacy born, in a Easter's dawn."
The Arrow and the Song,Legacy,"An arrow's flight, a song's sweet sound,
A legacy's mark, that echoes around,
A life's impact, a story so grand,
A arrow's path, that leaves its brand."
The Arrow and the Song,Friendship,"A friendship's bond, a song so true,
An arrow's flight, that hearts renew,
A connection deep, a tie so strong,
A friendship's legacy, that lasts all life long."
Mending Wall,Boundaries,"A stone wall's mark, a boundary's line,
A neighbor's bond, that hearts entwine,
A tradition's weight, a question's raised,
A wall's repair, that hearts have praised."
"To the Virgins, to Make Much of Time",Carpe Diem,"A youth's brief flame, a life so bright,
A moment's seized, in love's sweet light,
A time's fleeting, a life's short span,
A carpe diem's call, that hearts can't plan."
In a Station of the Metro,Imagism,"Faces apparate, in crowded space,
A moment's glance, a memory's place,
A metro's rush, a world's disguise,
A fleeting image, that haunts the eyes."
