Title,Category,Prompt
My Papaâs Waltz,Memory,"Write a short original poem about the theme of 'My Papaâs Waltz', categorized under 'Memory'. Use imaginative and expressive language."
I Chop Some Parsley,Everyday Life,"Write a short original poem about the theme of 'I Chop Some Parsley', categorized under 'Everyday Life'. Use imaginative and expressive language."
The Man He Killed,Irony,"Write a short original poem about the theme of 'The Man He Killed', categorized under 'Irony'. Use imaginative and expressive language."
An Irish Airman Foresees His Death,War,"Write a short original poem about the theme of 'An Irish Airman Foresees His Death', categorized under 'War'. Use imaginative and expressive language."
To an Athlete Dying Young,Mortality,"Write a short original poem about the theme of 'To an Athlete Dying Young', categorized under 'Mortality'. Use imaginative and expressive language."
"Easter, 1916",Rebellion,"Write a short original poem about the theme of 'Easter, 1916', categorized under 'Rebellion'. Use imaginative and expressive language."
The Arrow and the Song,Legacy,"Write a short original poem about the theme of 'The Arrow and the Song', categorized under 'Legacy'. Use imaginative and expressive language."
The Arrow and the Song,Friendship,"Write a short original poem about the theme of 'The Arrow and the Song', categorized under 'Friendship'. Use imaginative and expressive language."
Mending Wall,Boundaries,"Write a short original poem about the theme of 'Mending Wall', categorized under 'Boundaries'. Use imaginative and expressive language."
"To the Virgins, to Make Much of Time",Carpe Diem,"Write a short original poem about the theme of 'To the Virgins, to Make Much of Time', categorized under 'Carpe Diem'. Use imaginative and expressive language."
In a Station of the Metro,Imagism,"Write a short original poem about the theme of 'In a Station of the Metro', categorized under 'Imagism'. Use imaginative and expressive language."
